epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000254313151,0.1875000254313151,0.0625,0.06250001271565755,0.06250001271565755,0.0625,0.06250001271565755,0.06250001271565755,0.1111111111111111,0.5555555555555556,0.125,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,4.36832971572876,0.025624362599725524,0.030764388563686313,0.025493079291449654,0.00012425244682364993,7.03086145222187e-06,0.03037689020604263,0.00037404262357287936,1.3455734070804384e-05,0.6085416666666666,1.0,1.0,0.5177083333333333,0.9994444444444445,1.0,1.0,1.0,0.596875,0.835625,0.379375,0.5975,0.20375,0.300625,0.563125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995,0.46375,0.723125,0.25375,0.4925,0.133125,0.181875,0.41625,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.05134503364563,0.014501879009429688,0.02243784316930414,0.014491844648196374,5.512976398070653e-06,4.521384835243225e-06,0.02230692168812693,0.00011986558636029561,1.1055894816915194e-05,0.8317361111111111,1.0,1.0,0.738125,0.9997222222222222,1.0,1.0,1.0,0.9875,0.98375,0.798125,0.948125,0.560625,0.538125,0.669375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9975,0.939375,0.94625,0.635,0.884375,0.388125,0.39125,0.46125,1.0,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,5.110111036300659,0.011109977267268631,0.020875970709287088,0.011103591918945312,2.8256440742148293e-06,3.559704249103864e-06,0.020772571328245563,7.664610942204793e-05,2.675327161947886e-05,0.9003472222222222,1.0,1.0,0.810625,0.9998611111111111,1.0,1.0,1.0,0.998125,0.995625,0.905625,0.979375,0.58625,0.773125,0.865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.978125,0.959375,0.8175,0.935625,0.401875,0.56625,0.638125,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.061883716583252,0.009613276784779665,0.02104447255141021,0.009607338610990548,3.2681304340561233e-06,2.6700433550609484e-06,0.020912027241271218,9.862819479571449e-05,3.381711534327931e-05,0.9197916666666667,1.0,1.0,0.8311805555555556,0.9994444444444445,0.9995833333333334,1.0,1.0,1.0,0.99875,0.953125,0.988125,0.6075,0.816875,0.91375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.99625,0.986875,0.96625,0.88875,0.945625,0.425625,0.5725,0.7,0.99875,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,1.0,1.0
125,5.060558843612671,0.008570874120859015,0.02107563913880307,0.008567581176757813,1.3633632463299566e-06,1.9295808548728623e-06,0.020925588725525655,0.00012777923709816403,2.227117617925008e-05,0.9277777777777778,1.0,1.0,0.8374305555555556,0.9990972222222222,1.0,1.0,1.0,1.0,0.999375,0.959375,0.98625,0.625,0.850625,0.929375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.993125,0.974375,0.9675,0.90375,0.935625,0.440625,0.599375,0.72375,0.99875,0.993125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,5.066316242218018,0.008016296403984147,0.02109025170635662,0.008014010205680941,9.99343594432705e-07,1.2868547087742224e-06,0.020946681646653163,0.00012284964323043822,2.07204164730178e-05,0.9316666666666666,1.0,1.0,0.8410416666666667,0.999375,1.0,1.0,1.0,1.0,0.999375,0.96625,0.9875,0.63125,0.858125,0.9425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.995625,0.9775,0.96625,0.92125,0.9325,0.446875,0.58375,0.746875,0.99875,0.995625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,5.061472291946411,0.007726030267486176,0.02129910586654772,0.007724301373517072,7.952527893293235e-07,9.336411797751983e-07,0.021158805187837578,0.00012103195819589826,1.9268720514244502e-05,0.9331944444444444,1.0,1.0,0.8422222222222222,0.9994444444444445,1.0,1.0,1.0,1.0,0.999375,0.968125,0.986875,0.633125,0.865,0.94625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.99625,0.975,0.9675,0.925,0.9275,0.443125,0.593125,0.75375,0.99875,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,5.063506526947021,0.007434298697123188,0.021456707506268116,0.007432809994544511,7.798442513578468e-07,7.088583273192247e-07,0.021316042299623843,0.00012156416144635942,1.9101045197910734e-05,0.935625,1.0,1.0,0.8422222222222222,0.9994444444444445,1.0,1.0,1.0,1.0,0.999375,0.968125,0.986875,0.638125,0.878125,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.99625,0.978125,0.966875,0.925,0.918125,0.44375,0.604375,0.74875,0.99875,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,5.064679193496704,0.007109195166896241,0.02139234801593386,0.007108179257239825,4.601065625643565e-07,5.558030938522683e-07,0.02124879813488619,0.00012386371692021687,1.968616412745582e-05,0.9386805555555555,1.0,1.0,0.8459027777777778,0.9994444444444445,1.0,1.0,1.0,1.0,0.999375,0.973125,0.988125,0.648125,0.884375,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99875,0.99625,0.979375,0.965,0.93,0.91375,0.456875,0.615625,0.7575,0.99875,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
