epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999515593999,0.18749972508277424,0.0625,0.0625,0.06249999515593998,0.062499868133921686,0.062499851650661895,0.06250000529819065,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan
25,4.04196234703064,0.02442775164706209,0.6663628201425811,0.02421806537285053,0.0002019266476706853,7.759626540872786e-06,0.07417946332766685,0.11417754491170247,0.4780058119032118,0.63,1.0,1.0,0.36666666666666664,0.7444444444444445,0.0,1.0,1.0,0.75,0.8157142857142857,0.5085714285714286,0.5114285714285715,0.5142857142857142,0.2,0.37,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.8,0.3,0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.35,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
50,4.10702392578125,0.01406050214330408,0.6746088451809353,0.014041478932429454,8.891519927789295e-06,1.013169094683632e-05,0.07916836208767361,0.1293038050333659,0.46613667805989584,0.8442857142857143,1.0,1.0,0.4,0.7,0.0,1.0,1.0,0.9771428571428571,0.9771428571428571,0.8085714285714286,0.9671428571428572,0.5571428571428572,0.5757142857142857,0.7357142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6,0.2,0.0,0.9,0.0,0.0,0.9,1.0,0.0,0.15,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
75,4.200484199523926,0.010098353505522222,0.6534822452215501,0.010087405142540234,3.102514301500623e-06,7.845848680488646e-06,0.08343600049430941,0.11302754084269205,0.4570187038845486,0.9096825396825396,1.0,1.0,0.4,0.7111111111111111,0.0,1.0,1.0,0.9971428571428571,1.0,0.9428571428571428,0.9828571428571429,0.6,0.7414285714285714,0.9228571428571428,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.2,0.1,0.9,0.1,0.1,0.7,1.0,0.0,0.25,0.98,0.0,nan,nan,nan,nan,nan,nan,nan
100,4.392710399627686,0.008075049409669096,0.6438050470234435,0.008068495116326334,1.5312396285552826e-06,5.023053714207241e-06,0.08656481519157505,0.10983464982774523,0.4474055820041233,0.9293650793650794,1.0,1.0,0.4111111111111111,0.7,0.0,1.0,1.0,0.9985714285714286,1.0,0.9685714285714285,0.99,0.6285714285714286,0.8085714285714286,0.97,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3,0.0,0.9,0.1,0.2,0.7,1.0,0.0,0.25,0.96,0.0,nan,nan,nan,nan,nan,nan,nan
125,4.5399768352508545,0.007274365906638129,0.6355341157795471,0.00727104388847553,7.457073245729718e-07,2.5763108380257137e-06,0.08893653963818962,0.10256639056735568,0.44403118557400173,0.9357142857142857,1.0,1.0,0.35555555555555557,0.7111111111111111,0.0,1.0,1.0,0.9985714285714286,1.0,0.9742857142857143,0.9942857142857143,0.6514285714285715,0.8242857142857143,0.9785714285714285,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3,0.0,0.8,0.0,0.1,0.5,1.0,0.0,0.3,0.96,0.0,nan,nan,nan,nan,nan,nan,nan
150,4.705656442642212,0.006719643760848679,0.6347803469057436,0.006717619181099813,4.3436167909512443e-07,1.5902180697709796e-06,0.09215881912796585,0.09909070332845052,0.44353082444932723,0.940952380952381,1.0,1.0,0.3333333333333333,0.7,0.0,1.0,1.0,1.0,1.0,0.9842857142857143,0.9942857142857143,0.67,0.8342857142857143,0.9857142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.3,0.0,0.7,0.0,0.1,0.5,1.0,0.0,0.2,0.98,0.0,nan,nan,nan,nan,nan,nan,nan
175,4.203122806549072,0.00610689847970117,0.6375489647005812,0.00610561740881972,2.908430409632505e-07,9.90227840486027e-07,0.09559115186149691,0.09868388705783421,0.44327392578125,0.946031746031746,1.0,1.0,0.3333333333333333,0.6888888888888889,0.0,1.0,1.0,1.0,1.0,0.9842857142857143,0.9942857142857143,0.7071428571428572,0.8414285714285714,0.9871428571428571,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.2,0.0,0.7,0.0,0.1,0.5,1.0,0.0,0.15,0.98,0.0,nan,nan,nan,nan,nan,nan,nan
200,4.246934270858764,0.005783237762725789,0.6396994838008174,0.005782360904431217,2.0642785192836845e-07,6.70430442643544e-07,0.09904917964228878,0.09942864312065972,0.4412216610378689,0.9488888888888889,1.0,1.0,0.32222222222222224,0.7,0.0,1.0,1.0,1.0,1.0,0.9842857142857143,0.9942857142857143,0.7257142857142858,0.8442857142857143,0.9914285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.1,0.0,0.7,0.0,0.1,0.5,1.0,0.0,0.15,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
225,4.528020315170288,0.005314237977286909,0.6404488563537598,0.005313597986937831,1.5590698384339847e-07,4.840833652350638e-07,0.10132844712999131,0.10011457867092556,0.43900583055284287,0.9533333333333334,1.0,1.0,0.3111111111111111,0.7,0.0,1.0,1.0,1.0,1.0,0.9842857142857143,0.9942857142857143,0.7628571428571429,0.8471428571428572,0.9914285714285714,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.1,0.0,0.7,0.0,0.1,0.4,1.0,0.0,0.15,1.0,0.0,nan,nan,nan,nan,nan,nan,nan
