epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy
5,4.1170899868011475,0.10349835537098072,0.10579932311802734,0.06449451587818286,0.037131487528483074,0.0018723519643147786,0.06456093022852767,0.03864367008209228,0.002594722807407379,0.34868055555555555,0.8229166666666666,0.9884722222222222,0.35208333333333336,0.8256944444444444,0.9854166666666667
10,5.767152214050293,0.0911143026675707,0.09373002758732547,0.057122806501977236,0.03243922975328233,0.0015522664123111302,0.05714444760923032,0.03425305949317085,0.0023325204849243162,0.358125,0.8476388888888889,0.9902777777777778,0.3590277777777778,0.8472222222222222,0.9854166666666667
15,5.032993793487549,0.08381739252879296,0.0865041063523587,0.05296365996937693,0.029489565955268013,0.001364166604148017,0.05301282435287664,0.031418932808770075,0.002072349190711975,0.36916666666666664,0.8613194444444444,0.9915277777777778,0.3784722222222222,0.8583333333333333,0.9875
20,5.024664402008057,0.07861099871588342,0.0813087037316075,0.050576480818383486,0.026792687310112848,0.001241830587387085,0.05064971358687789,0.028748851352267794,0.001910138792461819,0.38166666666666665,0.8738194444444445,0.9915277777777778,0.39375,0.8666666666666667,0.9875
25,5.313479375839234,0.0747375006513831,0.07738847620325323,0.0489370878243152,0.024784454769558376,0.0010159580575095284,0.04905029108494888,0.026706687609354653,0.0016314975089497035,0.38590277777777776,0.8854166666666666,0.9936805555555556,0.39305555555555555,0.8729166666666667,0.9902777777777778
30,3.678636074066162,0.08405617406338821,0.089376241851736,0.055964065363377696,0.026804900699191624,0.0012872080008188883,0.05798222577130353,0.030730835596720376,0.0006631804837120904,0.39534722222222224,0.9072916666666667,0.9922916666666667,0.38680555555555557,0.8895833333333333,0.9965277777777778
35,5.111383962631225,0.07268669147550325,0.07801627468915633,0.050048967526282795,0.021598114437527127,0.0010396095116933187,0.051938577345859854,0.02556736469268799,0.0005103326506084866,0.4079861111111111,0.9314583333333334,0.9929166666666667,0.4027777777777778,0.9201388888888888,0.9965277777777778
40,5.1686108112335205,0.06551717505042935,0.07087731697585112,0.04581038486810378,0.018824231889512804,0.0008825582928127713,0.0475532908498505,0.02288915581173367,0.0004348703142669466,0.41458333333333336,0.9442361111111112,0.9938888888888889,0.4041666666666667,0.9284722222222223,0.9972222222222222
45,5.338593578338623,0.06136628712400977,0.06673972471444695,0.04367557855299961,0.016954260932074652,0.000736447638935513,0.045301536277488424,0.021062768830193413,0.0003754196067651113,0.42194444444444446,0.9524305555555556,0.9954861111111111,0.41388888888888886,0.9319444444444445,0.9986111111111111
50,6.665927457809448,0.05842655460039775,0.0638400079705465,0.04210713704427083,0.015687683953179255,0.0006317336029476589,0.04363594997076341,0.01985578801896837,0.0003482699808147219,0.4236111111111111,0.956875,0.9963888888888889,0.4125,0.9381944444444444,0.9993055555555556
