epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998445864077,0.18749993642171223,0.06249998869719328,0.062499995761447484,0.0625,0.06249995761447483,0.06249998940361871,0.06249998940361871,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,3.72045352935791,0.02581244035129562,0.027073679648391486,0.025597797911844137,0.00020979937579896716,4.843063652515411e-06,0.026783773634168836,0.00027719251811504365,1.271349610760808e-05,0.5754861111111111,1.0,1.0,0.55625,1.0,1.0,1.0,1.0,0.67375,0.729375,0.37875,0.64875,0.2325,0.074375,0.441875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6625,0.6875,0.3375,0.625,0.225,0.04375,0.425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.414642677307129,0.013796245278984619,0.016627414610698953,0.013781984117296007,1.3366605465610822e-05,8.945562230009171e-07,0.016607158566698615,1.8090520623243516e-05,2.1655233770919343e-06,0.8145833333333333,1.0,1.0,0.7527777777777778,1.0,1.0,1.0,1.0,0.981875,0.991875,0.711875,0.988125,0.494375,0.569375,0.59375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98125,0.9625,0.54375,0.98125,0.4375,0.425,0.44375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.661459131240845,0.010463685056152982,0.014886163355639625,0.01045683213222174,5.9263894541396035e-06,9.265344771039154e-07,0.01487370832466785,1.0002445843484666e-05,2.4525851282911996e-06,0.9035416666666667,1.0,1.0,0.8486111111111111,1.0,1.0,1.0,1.0,0.989375,0.998125,0.8925,0.99125,0.674375,0.71625,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.98125,0.775,0.99375,0.575,0.66875,0.65625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,4.732400379180908,0.007909879393309333,0.012435940375844775,0.00790439087667583,4.302327158964343e-06,1.1861894745379687e-06,0.01242054126880787,9.436697776739796e-06,5.96240926016536e-06,0.9414583333333333,1.0,1.0,0.9034722222222222,1.0,1.0,1.0,1.0,0.996875,0.999375,0.958125,0.994375,0.733125,0.8375,0.95375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.9875,0.89375,0.9875,0.66875,0.76875,0.83125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,4.617338972091675,0.007206271212392797,0.011793443851782309,0.007198994954427084,5.6966414882077115e-06,1.5796164775060283e-06,0.011736197530487437,4.0306647618611655e-05,1.693967367625899e-05,0.9493055555555555,1.0,1.0,0.9069444444444444,1.0,1.0,1.0,1.0,0.9975,0.998125,0.983125,0.998125,0.710625,0.87875,0.9775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.9875,0.94375,0.99375,0.6375,0.7625,0.84375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,4.518776550292968,0.005625862917865708,0.009936252948655576,0.005619823785475743,4.35271972997321e-06,1.6864126599911187e-06,0.00983461097434715,7.804156694975164e-05,2.3600407358672884e-05,0.9577777777777777,1.0,1.0,0.9173611111111111,1.0,1.0,1.0,1.0,0.999375,1.0,0.9875,0.998125,0.724375,0.92375,0.986875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.95625,0.99375,0.625,0.8375,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,4.591462354660035,0.00358421552411775,0.007873765616476491,0.0035794672553921924,2.5169155560433864e-06,2.2313531695140734e-06,0.00783086058534222,1.1703285336908367e-05,3.120174579736259e-05,0.9745138888888889,1.0,1.0,0.9430555555555555,1.0,1.0,1.0,1.0,1.0,0.999375,0.995625,0.998125,0.845625,0.939375,0.9925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.99375,0.7875,0.8375,0.89375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,4.561221370697021,0.0013996592650684402,0.0054446211438640415,0.0013960288483419537,2.4222052242192957e-06,1.2082115022672547e-06,0.005389871126339759,4.375793570135202e-06,5.0374223954147764e-05,0.9903472222222223,1.0,1.0,0.9590277777777778,1.0,0.9986111111111111,1.0,1.0,0.999375,1.0,0.99625,0.99875,0.979375,0.945,0.994375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.98125,0.9875,0.925,0.85,0.89375,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,4.790102901458741,0.0010752850618891787,0.005121016559869419,0.001073481477337119,1.2552809332393938e-06,5.483036188201771e-07,0.005057665742473838,2.016101239456071e-06,6.133471615612506e-05,0.9915277777777778,1.0,1.0,0.9645833333333333,1.0,0.9986111111111111,1.0,1.0,1.0,0.999375,0.996875,0.998125,0.98625,0.946875,0.99625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.98125,0.9875,0.95625,0.8625,0.9,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0
