epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18750000847710502,0.18750005298190647,0.0625,0.0625,0.06250000847710503,0.0625,0.06249998940361871,0.06250006357828776,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25,4.4225419235229495,0.023436563266096288,0.031960508641269474,0.023181350142867475,0.00024417998062239754,1.1033142606417337e-05,0.03089546627468533,0.0010303532911671532,3.4689075416988795e-05,0.6441666666666667,1.0,1.0,0.5319444444444444,0.9986111111111111,1.0,1.0,0.99875,0.69,0.8825,0.485,0.5975,0.32625,0.35125,0.46625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.475,0.8125,0.35,0.525,0.1875,0.2,0.25,1.0,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.697433166503906,0.014676922534098042,0.02802238638719751,0.014657720871913579,1.3298663414186901e-05,5.902998770276706e-06,0.027477391560872397,0.0005067012376255459,3.829358869956599e-05,0.8394444444444444,1.0,1.0,0.6986111111111111,0.9958333333333333,1.0,1.0,1.0,0.95875,0.98,0.8225,0.93625,0.57875,0.53375,0.745,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9875,0.8625,0.9125,0.65,0.7875,0.35,0.3125,0.45,0.975,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.695905637741089,0.012258297907113799,0.029604991661660647,0.01224842401198399,6.4660448374019725e-06,3.407850292407804e-06,0.028938427677860964,0.0006154695732725991,5.109441052708361e-05,0.8920833333333333,1.0,1.0,0.7583333333333333,0.9958333333333333,1.0,1.0,1.0,0.98875,0.995,0.93125,0.95875,0.6325,0.67125,0.85125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9875,0.8875,0.9125,0.8625,0.825,0.425,0.4625,0.4875,0.975,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.9696435546875,0.010543394966401665,0.029677447455900684,0.010536511268144772,4.398544422454304e-06,2.4851538344389862e-06,0.02871547981544777,0.0008424746493498485,0.00011949299110306634,0.9088888888888889,1.0,1.0,0.775,0.9930555555555556,1.0,1.0,1.0,0.995,0.99625,0.93875,0.96625,0.67625,0.7025,0.905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.95,0.875,0.8625,0.8375,0.4875,0.45,0.575,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,5.632484445571899,0.009475633563864745,0.03174014664082616,0.009470866638937113,3.141255066212681e-06,1.6256698614193334e-06,0.030526895876284002,0.0011106958819760216,0.00010255488256613413,0.91875,1.0,1.0,0.7763888888888889,0.9930555555555556,1.0,1.0,1.0,0.995,0.9975,0.95375,0.9725,0.70375,0.72,0.92625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.925,0.8625,0.8875,0.875,0.475,0.4625,0.5625,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,5.111760311126709,0.008824983868693336,0.0326236513759481,0.008821980040750386,2.0753575437184837e-06,9.284703992307186e-07,0.03128605124391156,0.0012668269375960032,7.077319444053703e-05,0.9248611111111111,1.0,1.0,0.7722222222222223,0.9930555555555556,1.0,1.0,1.0,0.99625,0.99875,0.95875,0.9775,0.725,0.735,0.9325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.9125,0.8875,0.8875,0.85,0.4625,0.4375,0.575,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,4.714578838348388,0.008476736054397879,0.03356799941946878,0.0084746664541739,1.495971033970515e-06,5.736291900070177e-07,0.03221544571864752,0.001290176229344474,6.237747147679329e-05,0.9273611111111111,1.0,1.0,0.7694444444444445,0.9930555555555556,1.0,1.0,1.0,0.99625,0.99875,0.9625,0.98125,0.73125,0.74125,0.935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.8625,0.925,0.8875,0.8625,0.4375,0.425,0.5875,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,4.693320960998535,0.008093120086141202,0.03385717203024269,0.008091494713300541,1.1609668015605873e-06,4.6440603910014036e-07,0.03251489474449629,0.0012870395349131691,5.52377508332332e-05,0.9305555555555556,1.0,1.0,0.7680555555555556,0.9930555555555556,1.0,1.0,1.0,0.99875,0.99875,0.9625,0.9825,0.74625,0.74625,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.8875,0.9,0.8875,0.8375,0.4375,0.4375,0.5875,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,4.6927345180511475,0.007981357037752327,0.03423845727560053,0.007980405077522184,6.266694981604815e-07,3.252907319822245e-07,0.032906466354558496,0.0012844178411695693,4.7573079872462485e-05,0.9311111111111111,1.0,1.0,0.7666666666666667,0.9930555555555556,1.0,1.0,1.0,0.99875,1.0,0.9625,0.9825,0.74875,0.74625,0.94125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.975,0.8625,0.9,0.8875,0.85,0.4375,0.4375,0.5875,0.9625,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
