epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999205271403,0.18749998999230655,0.062499987284342445,0.06250000476837159,0.0625,0.062499952904972025,0.06250004238552517,0.06249999470180935,0.125,0.625,0.125,0.1111111111111111,0.5555555555555556,0.125,nan,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,5.8744601631164555,0.029020694844140157,0.11668910553425918,0.02900748994615343,1.1871580500155688e-05,1.3333174865692855e-06,0.056565075156129435,0.055178531010945636,0.004945499367184109,0.56296875,1.0,1.0,0.40694444444444444,0.8888888888888888,1.0,nan,1.0,0.6775,0.7975,0.36875,0.45375,0.3875,0.31,0.50875,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5625,0.6875,0.3125,0.325,0.2875,0.175,0.3125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,11.806215887069703,0.0159811586030345,0.10897524905057601,0.015974256727430556,2.4221927742473782e-06,4.479682829696685e-06,0.048729102994188846,0.055330944061279294,0.0049152019951078625,0.8378125,1.0,1.0,0.6375,0.8888888888888888,0.9972222222222222,nan,1.0,0.9875,0.99625,0.76375,0.9525,0.55,0.625,0.8275,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9375,0.9,0.625,0.925,0.4125,0.3625,0.575,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0
75,29.84940631866455,0.01259620430864743,0.11026616935376767,0.012590103149414063,1.6670946206431835e-06,4.434064612723887e-06,0.049819889775028936,0.05539766947428385,0.0050486101044548886,0.89078125,1.0,1.0,0.6791666666666667,0.8888888888888888,0.9944444444444445,nan,1.0,1.0,1.0,0.90875,0.96875,0.56375,0.78,0.905,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9625,0.9125,0.8625,0.9375,0.4,0.5,0.5375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,0.9666666666666667,1.0,1.0
100,33.47956164360046,0.01099355368001852,0.11116173090758147,0.01098987579345703,7.246260065585375e-07,2.9532605549320577e-06,0.0508944758662471,0.05542658699883355,0.004840668042500814,0.9053125,1.0,1.0,0.6888888888888889,0.8888888888888888,0.9875,nan,1.0,1.0,1.0,0.93375,0.97875,0.57625,0.81875,0.935,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9625,0.925,0.875,0.9625,0.4625,0.4375,0.575,0.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,1.0,0.9777777777777777,1.0,0.9555555555555556,0.9888888888888889,1.0
125,35.655293188095094,0.010123948218727795,0.11168075792583419,0.010121901830037435,4.2486804886721073e-07,1.6215206414926798e-06,0.05166307614173418,0.05544195175170898,0.004575730032391019,0.91234375,1.0,1.0,0.6833333333333333,0.8888888888888888,0.9875,nan,1.0,1.0,1.0,0.9525,0.98,0.58375,0.84,0.9425,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975,0.9375,0.8875,0.95,0.4,0.425,0.575,0.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,1.0,0.9888888888888889,0.9888888888888889,0.9555555555555556,0.9888888888888889,1.0
150,33.86142035484314,0.00968720135347515,0.11186227408456213,0.00968595822652181,2.5775638277991676e-07,9.853705705609172e-07,0.05198792822567033,0.055453554789225264,0.0044207910696665445,0.91515625,1.0,1.0,0.6875,0.8888888888888888,0.9875,nan,1.0,1.0,1.0,0.95625,0.98125,0.585,0.84625,0.9525,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975,0.9375,0.8875,0.9375,0.4125,0.4375,0.6,0.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,0.9777777777777777,0.9888888888888889,0.9555555555555556,0.9888888888888889,1.0
175,33.597381591796875,0.0094020195871902,0.11226373292781688,0.009401200612386067,1.9024169887416064e-07,6.287331052590161e-07,0.05239849797001592,0.055462249120076496,0.004402985837724474,0.9171875,1.0,1.0,0.6944444444444444,0.8888888888888888,0.9902777777777778,nan,1.0,1.0,1.0,0.9575,0.98375,0.58625,0.85375,0.95625,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975,0.9625,0.8875,0.9375,0.4125,0.475,0.6,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9888888888888889,0.9666666666666667,0.9888888888888889,1.0
200,37.008463802337644,0.009258568386671363,0.11258693024700071,0.009258032904730902,1.2948288713232614e-07,4.0599905332783236e-07,0.052765095086745276,0.05546966658698188,0.004352168573273553,0.9184375,1.0,1.0,0.6916666666666667,0.8888888888888888,0.9861111111111112,nan,1.0,1.0,1.0,0.9575,0.98375,0.5875,0.85875,0.96,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.975,0.9625,0.875,0.925,0.4125,0.4625,0.6125,0.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9888888888888889,1.0
225,33.80994540214539,0.009133400764968528,0.11295244307429703,0.009133022096421983,8.896552571968642e-08,2.897030208259821e-07,0.053124350088614006,0.05547472106085883,0.004353371924824185,0.91921875,1.0,1.0,0.6916666666666667,0.8888888888888888,0.9861111111111112,nan,1.0,1.0,1.0,0.9575,0.98375,0.58875,0.86125,0.9625,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9625,0.9625,0.8875,0.925,0.4125,0.4625,0.6125,0.0,1.0,1.0,1.0,1.0,1.0,0.9777777777777777,0.9666666666666667,0.9888888888888889,0.9666666666666667,0.9888888888888889,1.0
