epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1874999952316284,0.18749997350904676,0.0625,0.06249999523162842,0.0625,0.0625,0.06249996291266547,0.0625000105963813,0.125,0.125,0.125,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,15.441747150421143,0.029840433627315276,0.05507058638915489,0.025626237657335068,0.004205966591835022,8.229378145188094e-06,0.041253775137442134,0.013805727163950602,1.108408776215381e-05,0.6434375,0.9871875,1.0,0.48333333333333334,0.9180555555555555,1.0,1.0,0.98125,0.915,nan,0.5625,0.64,0.3225,0.22625,0.5,1.0,0.98125,0.91625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8625,0.7875,0.0,0.375,0.5875,0.2625,0.0625,0.4125,1.0,0.8625,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,33.50380711555481,0.01380345417251293,0.045292927947953164,0.013667886522081164,0.0001299674902111292,5.600160220637918e-06,0.03773300265088494,0.007547061310874091,1.2863986194133759e-05,0.8609375,0.99984375,1.0,0.6541666666666667,0.9666666666666667,1.0,1.0,1.0,0.99875,nan,0.84125,0.95375,0.60875,0.66125,0.82375,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.95,0.0,0.7,0.8,0.475,0.3,0.675,1.0,0.9875,0.85625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,33.754152116775515,0.00956135966310588,0.04555006396833141,0.00949928601582845,5.910126026719809e-05,2.972387010231614e-06,0.03731390870647666,0.008214457829793295,2.169743206145035e-05,0.91359375,0.99984375,1.0,0.7097222222222223,0.9722222222222222,1.0,1.0,1.0,0.99875,nan,0.92875,0.965,0.66,0.825,0.93125,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.85,0.8375,0.475,0.5,0.75,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,35.94866523742676,0.008180915036258132,0.04910783262572677,0.008129304250081381,4.989657551050186e-05,1.7142106662504375e-06,0.03904171460940514,0.010050463676452636,1.5654339868989254e-05,0.9290625,0.99984375,1.0,0.7111111111111111,0.9708333333333333,1.0,1.0,1.0,0.99875,nan,0.9575,0.97625,0.66625,0.8625,0.97125,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.875,0.825,0.4875,0.475,0.7625,1.0,1.0,0.86875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,34.05070900917053,0.007507724671732932,0.05170527212048686,0.007461602952745226,4.50919708237052e-05,1.029748164000921e-06,0.04092763735924238,0.010768859253989325,8.775507255146902e-06,0.93359375,0.99984375,1.0,0.7111111111111111,0.9680555555555556,1.0,1.0,1.0,0.99875,nan,0.96375,0.97625,0.6775,0.87625,0.97625,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.8875,0.8125,0.475,0.4625,0.7875,1.0,1.0,0.85625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,34.223177909851074,0.00688739959259692,0.052160036452416396,0.006843338012695312,4.3358583934605124e-05,7.029959670035168e-07,0.04159985295048466,0.010554568635092841,5.6148668388939565e-06,0.939375,0.99984375,1.0,0.7166666666666667,0.9680555555555556,1.0,1.0,1.0,0.99875,nan,0.97625,0.97625,0.69,0.88875,0.985,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.8875,0.8375,0.5,0.45,0.8,1.0,1.0,0.85625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,37.00865787506103,0.006692027426789637,0.05250956544927091,0.006650355127122667,4.116928670555353e-05,5.030129614169709e-07,0.04170946662808642,0.010795995924207899,4.102896976595124e-06,0.94125,0.99984375,1.0,0.7138888888888889,0.9666666666666667,1.0,1.0,1.0,0.99875,nan,0.97625,0.9775,0.6925,0.89625,0.98875,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.8875,0.8,0.5125,0.4375,0.8125,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,34.11861204147339,0.006585621457872752,0.05276166394825042,0.0065448575549655495,4.043040797114372e-05,3.334949360578321e-07,0.04148428175184462,0.011273127131991917,4.255064413882792e-06,0.94203125,0.99984375,1.0,0.7152777777777778,0.9666666666666667,1.0,1.0,1.0,0.99875,nan,0.97625,0.97875,0.6925,0.90125,0.98875,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.8875,0.8,0.5125,0.45,0.8125,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,34.282136039733885,0.006366952304114319,0.05280673138755603,0.006326729986402723,3.998411353677511e-05,2.3820417482056656e-07,0.04159750290858893,0.011205478509267171,3.7499696999374363e-06,0.9440625,0.99984375,1.0,0.7166666666666667,0.9666666666666667,1.0,1.0,1.0,0.99875,nan,0.98375,0.97875,0.6975,0.905,0.98875,1.0,1.0,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.0,0.8875,0.8,0.5125,0.4625,0.8125,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
