epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875,0.18750006357828775,0.0625,0.0625,0.0625,0.0625,0.06250005828009711,0.06250000529819065,0.125,0.5,0.125,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,19.336639404296875,0.01782422550695224,0.03736288981816881,0.01715977562798394,0.0006524003297090531,1.2049549259245395e-05,0.03624977300196518,0.0010969564318656921,1.6160384337935183e-05,0.72015625,0.9996875,1.0,0.5319444444444444,0.9958333333333333,1.0,1.0,1.0,0.59125,0.94,nan,0.73875,0.58875,0.42125,0.48125,1.0,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4375,0.85,0.0,0.575,0.375,0.225,0.325,1.0,0.9625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,33.8820781993866,0.0036473513966969527,0.026533798670344468,0.003598700364430746,4.441262688487768e-05,4.238405381329358e-06,0.026176049974229603,0.0003532275143596861,4.521181755181816e-06,0.96765625,1.0,1.0,0.7847222222222222,1.0,1.0,1.0,1.0,0.99125,0.985,nan,0.9525,0.96875,0.8675,0.97625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9125,0.9375,0.0,0.85,0.9125,0.6,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,33.75709163665771,0.0015155311306362922,0.027407615882758467,0.0015037157800462512,1.0246371384710074e-05,1.5689792053308337e-06,0.02711620330810547,0.0002900072063008944,1.4053683521019088e-06,0.9890625,1.0,1.0,0.8277777777777777,0.9972222222222222,1.0,1.0,1.0,1.0,1.0,nan,0.98875,1.0,0.92625,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.975,0.0,0.875,0.9875,0.7,0.975,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,35.72640400886536,0.0006414987819799636,0.027736591344422957,0.0006366070773866442,4.046508693136275e-06,8.45195900183171e-07,0.0274370664431725,0.0002988350060251024,6.898952253525042e-07,0.99515625,1.0,1.0,0.8305555555555556,1.0,1.0,1.0,1.0,1.0,1.0,nan,0.9975,1.0,0.965,0.99875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.9625,0.0,0.9,0.975,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,33.828335723876954,0.00041016673822418345,0.028475311918678747,0.0004080279337035285,1.652585342526436e-06,4.862191781285219e-07,0.028178252702877844,0.0002964723234375318,5.868923633695684e-07,0.996875,1.0,1.0,0.8361111111111111,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,1.0,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,36.10059880256653,0.0003187736569472893,0.02922227239360825,0.0003176602058940464,8.296580926980823e-07,2.8379296054481526e-07,0.028905065560046534,0.0003165419109993511,6.649225623631436e-07,0.9971875,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.9625,0.0,0.9125,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,34.93791964530945,0.0002826283511906998,0.0296387628069944,0.00028197964032491046,4.6759003453189506e-07,1.8112083125743083e-07,0.029309470565230755,0.0003286743329630958,6.179088005511504e-07,0.9975,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,33.98342250823975,0.0002637020496614342,0.030044417982872676,0.00026329931285646224,2.879660314647481e-07,1.1477077350718901e-07,0.029694583092206787,0.00034925656186209785,5.783288037895949e-07,0.99765625,1.0,1.0,0.8319444444444445,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.9625,0.0,0.9,0.9875,0.6875,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,34.08863666534424,0.00026220927679181235,0.030171185020344077,0.0002619416018327077,1.8703736714087428e-07,8.063759196375031e-08,0.029826684645664545,0.0003439336808191405,5.666938603907409e-07,0.99765625,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
250,33.90369095802307,0.0002615240375674451,0.030347444929820656,0.00026133512457211816,1.2953276382177137e-07,5.938023150520166e-08,0.030002177203143084,0.0003447212485803498,5.464780972235732e-07,0.99765625,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
275,33.966888751983646,0.0002609717867087764,0.030441491545040923,0.00026083267397350733,9.453751772525721e-08,4.4575217543751934e-08,0.0301001325065707,0.00034081809636619356,5.409421040288483e-07,0.99765625,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,141.7141205215454,0.0002565762431320056,0.030488268245114147,0.00025646977954440646,7.215068308141781e-08,3.431290451771929e-08,0.03014320561915268,0.00034451644039816326,5.461855633054963e-07,0.9978125,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9125,0.9875,0.675,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
325,69.60894535064698,0.00024363155900017673,0.030553561368049733,0.00024354923102590774,5.448692718346138e-08,2.784104708553059e-08,0.030216313585822965,0.0003366758219069905,5.719603197778471e-07,0.9978125,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
350,92.01385912895202,0.00024349810371884613,0.030587528633174016,0.00024343303508228727,4.279661879991181e-08,2.2272017758950823e-08,0.03026552082579813,0.00032141463210185367,5.93175274035376e-07,0.9978125,1.0,1.0,0.8347222222222223,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
375,110.78550091743469,0.00024339179008860712,0.030591026489182018,0.00024333897564146254,3.4586080346343807e-08,1.8228366798211937e-08,0.030282098275643807,0.00030831615957948894,6.120539587249773e-07,0.9978125,1.0,1.0,0.8361111111111111,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9125,0.9875,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,77.28473695755005,0.0002433192856978571,0.030604230933633153,0.00024327548013793098,2.8495619517343584e-08,1.5309940408769763e-08,0.030315135437765237,0.00028844593713680904,6.495587311090073e-07,0.9978125,1.0,1.0,0.8375,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9625,0.0,0.9125,1.0,0.7,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
