epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998546781993,0.18749993759908792,0.0625,0.0625,0.06249998546781994,0.0624999905809944,0.0625,0.062499947018093534,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,28.951894283294678,0.02732184464180911,0.09849795066280129,0.02707741066261574,0.0002348869944375659,9.546984755803668e-06,0.03606389128131631,0.002904193268881904,0.05952986611260308,0.5946031746031746,1.0,1.0,0.4583333333333333,0.9916666666666667,0.875,1.0,1.0,0.7014285714285714,0.6985714285714286,0.4714285714285714,0.4828571428571429,0.3742857142857143,0.36428571428571427,0.25857142857142856,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9375,0.575,0.4125,0.2375,0.3875,0.1875,0.2,0.1875,1.0,0.9375,0.99375,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,33.043421287536624,0.014532837027673998,0.09039569423522478,0.014496831338872354,2.214553573774913e-05,1.386015306389521e-05,0.032300880808889126,0.0014617436461978489,0.0566330697801378,0.8271428571428572,1.0,1.0,0.6388888888888888,0.9944444444444445,0.875,1.0,1.0,0.9614285714285714,0.9414285714285714,0.7228571428571429,0.9342857142857143,0.63,0.5442857142857143,0.71,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.85,0.75,0.4,0.7375,0.4125,0.25,0.3875,1.0,0.9625,0.99375,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,35.037733516693116,0.009016540462850895,0.08849544288751521,0.00898671791036293,1.0792868477957589e-05,1.9029684010006134e-05,0.032630371753080395,0.0008938954108291202,0.054971175723605686,0.9166666666666666,1.0,1.0,0.6986111111111111,0.9958333333333333,0.875,1.0,1.0,0.9942857142857143,0.99,0.8957142857142857,0.9557142857142857,0.8914285714285715,0.6542857142857142,0.8685714285714285,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.875,0.8375,0.4875,0.775,0.675,0.2125,0.4625,1.0,0.9625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,33.430013275146486,0.006542305385322692,0.0872588986047992,0.00652224155540399,6.614883859006185e-06,1.3448946059696258e-05,0.034355326052065246,0.0009492024779319763,0.05195437007480198,0.9449206349206349,1.0,1.0,0.7263888888888889,0.9958333333333333,0.875,1.0,1.0,0.9957142857142857,0.9942857142857143,0.9457142857142857,0.9757142857142858,0.9314285714285714,0.7128571428571429,0.9485714285714286,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.8875,0.85,0.5625,0.7375,0.7,0.275,0.55,1.0,0.975,1.0,0.9975,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,33.07300527572632,0.005462454248686211,0.08715560480400368,0.005449637492077271,4.5711901925859e-06,8.245566416354407e-06,0.03558634298819083,0.0010067582130432128,0.05056250360276964,0.9544444444444444,1.0,1.0,0.7333333333333333,0.9972222222222222,0.8722222222222222,1.0,1.0,1.0,1.0,0.9571428571428572,0.9814285714285714,0.94,0.7485714285714286,0.9628571428571429,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9,0.8625,0.5875,0.7125,0.7,0.3,0.55,1.0,0.9875,1.0,0.9975,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0,1.0
150,36.62233743667603,0.004920083046077736,0.0873153234153618,0.004912322513640873,2.9046277678202067e-06,4.855904669042618e-06,0.03671864168143567,0.0009553798370891147,0.04964130189683702,0.9587301587301588,1.0,1.0,0.7305555555555555,0.9972222222222222,0.8722222222222222,1.0,1.0,1.0,1.0,0.9614285714285714,0.9828571428571429,0.9457142857142857,0.77,0.9685714285714285,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.8875,0.875,0.6125,0.7,0.7,0.275,0.5375,1.0,0.9875,1.0,0.9975,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0,1.0
175,33.33768580436706,0.00459004512396715,0.08710934325684735,0.004585043286520337,1.9695070232190784e-06,3.032330423593521e-06,0.03729834850923515,0.0008093116184075673,0.049001683129204644,0.9612698412698413,1.0,1.0,0.7444444444444445,0.9986111111111111,0.8722222222222222,1.0,1.0,1.0,1.0,0.9657142857142857,0.9828571428571429,0.9471428571428572,0.7828571428571428,0.9728571428571429,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9,0.8875,0.6375,0.7125,0.7,0.3375,0.5375,1.0,0.9875,1.0,1.0,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0,1.0
200,33.58041856765747,0.00438472741641551,0.08676009543332053,0.004381320421868111,1.4297939127399807e-06,1.977200634659283e-06,0.03764614058129581,0.0007075711256927914,0.04840638372633192,0.9625396825396826,1.0,1.0,0.7430555555555556,1.0,0.8722222222222222,1.0,1.0,1.0,1.0,0.9657142857142857,0.9828571428571429,0.9471428571428572,0.7928571428571428,0.9742857142857143,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8875,0.6375,0.7125,0.65,0.35,0.55,1.0,1.0,1.0,1.0,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0,1.0
225,33.39155128479004,0.004208815152333093,0.08598228605165158,0.004206333059482473,1.0512891181168102e-06,1.4308037325030282e-06,0.037443610768259306,0.0006480015400383207,0.04789067374335395,0.9641269841269842,1.0,1.0,0.7486111111111111,1.0,0.8722222222222222,1.0,1.0,1.0,1.0,0.9728571428571429,0.9842857142857143,0.9485714285714286,0.7957142857142857,0.9757142857142858,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8875,0.65,0.7125,0.6625,0.375,0.55,1.0,1.0,1.0,1.0,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,1.0,1.0,1.0
