epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18750000484406001,0.18750005298190647,0.0625,0.06250000484406001,0.0625,0.0625,0.06250003708733452,0.06250001589457194,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,29.624268589019774,0.027609813135557493,0.10598771586830233,0.027108978863536155,0.0004789605594816662,2.1873712539672853e-05,0.039262929374789014,0.013342236147986518,0.0533825503455268,0.5911111111111111,1.0,1.0,0.44722222222222224,0.9430555555555555,0.875,1.0,1.0,0.79,0.6085714285714285,0.56,0.4928571428571429,0.13142857142857142,0.37857142857142856,0.3585714285714286,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6125,0.375,0.3125,0.2375,0.0875,0.225,0.175,1.0,1.0,0.9625,0.9125,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
50,32.97411747932434,0.015625091465534986,0.09844514808537047,0.015548321759259258,6.389937230518885e-05,1.2870333970539153e-05,0.036924710685824175,0.010341235001881917,0.05117920239766439,0.8247619047619048,1.0,1.0,0.6166666666666667,0.9611111111111111,0.875,1.0,1.0,0.9571428571428572,0.9585714285714285,0.7657142857142857,0.8957142857142857,0.5614285714285714,0.5914285714285714,0.6928571428571428,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.75,0.6625,0.55,0.75,0.3625,0.225,0.275,1.0,0.9875,0.94375,0.955,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
75,35.04665871620178,0.01086205424389406,0.08702097509378268,0.010828081295814043,2.357201680304512e-05,1.0400931276972332e-05,0.034645487938398195,0.004705795645713806,0.04766969150967068,0.9036507936507937,1.0,1.0,0.7194444444444444,0.9916666666666667,0.8736111111111111,1.0,1.0,0.9828571428571429,0.9885714285714285,0.8814285714285715,0.9271428571428572,0.7257142857142858,0.7542857142857143,0.8728571428571429,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.8,0.775,0.7375,0.8125,0.5,0.4,0.475,0.9875,1.0,0.96875,1.0,0.9888888888888889,0.0,1.0,1.0,1.0,1.0,1.0,1.0
100,33.28819615364075,0.007484095495397872,0.08237855213659781,0.00746832576798804,1.0508011494364058e-05,5.261715915468004e-06,0.032109988177264175,0.004078174961937798,0.04619038899739583,0.9368253968253968,1.0,1.0,0.7583333333333333,0.9902777777777778,0.8736111111111111,1.0,1.0,0.9942857142857143,0.9971428571428571,0.9042857142857142,0.9428571428571428,0.87,0.8,0.9228571428571428,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9625,0.7875,0.775,0.7875,0.8125,0.7,0.4625,0.55,0.9875,0.9875,0.96875,1.0,0.9888888888888889,0.0,1.0,1.0,1.0,1.0,1.0,1.0
125,32.96370471954346,0.005769320538290489,0.0801456649730235,0.0057583639693218145,7.197590219596075e-06,3.7589787490784177e-06,0.03185490266776379,0.0031918164756562974,0.04509894582960341,0.9514285714285714,1.0,1.0,0.7680555555555556,0.9888888888888889,0.8736111111111111,1.0,1.0,0.9971428571428571,0.9971428571428571,0.9171428571428571,0.9485714285714286,0.9342857142857143,0.8285714285714286,0.94,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9625,0.825,0.75,0.8,0.8375,0.7375,0.4625,0.55,0.9875,0.975,0.96875,1.0,0.9888888888888889,0.0,1.0,1.0,1.0,1.0,1.0,1.0
150,36.63358504295349,0.0046300381547533225,0.07883791599744633,0.0046241305450493275,3.3184040396932573e-06,2.5892056643016754e-06,0.031478526268476324,0.003155665927463108,0.04420372380150689,0.9607936507936508,1.0,1.0,0.7791666666666667,0.9944444444444445,0.875,1.0,1.0,0.9985714285714286,0.9971428571428571,0.9328571428571428,0.9557142857142857,0.9771428571428571,0.84,0.9457142857142857,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9625,0.825,0.7625,0.8,0.8375,0.8375,0.4625,0.525,1.0,0.9875,0.98125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
175,33.25094831466675,0.004165714691726514,0.0777943777817267,0.004162410890824791,1.7712963005853078e-06,1.5325046011379787e-06,0.03128383071334274,0.003090237577756246,0.04342030949062771,0.9644444444444444,1.0,1.0,0.7875,0.9944444444444445,0.875,1.0,1.0,0.9985714285714286,0.9971428571428571,0.9385714285714286,0.9571428571428572,0.9928571428571429,0.8485714285714285,0.9471428571428572,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.8375,0.775,0.8,0.85,0.8875,0.45,0.5125,1.0,0.9875,0.98125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
200,33.4716721534729,0.0038530759821601567,0.07720682584209207,0.003850986541263641,1.1571928385704282e-06,9.322480579453801e-07,0.031367193622353635,0.003002611133787367,0.04283702108595106,0.966984126984127,1.0,1.0,0.7888888888888889,0.9958333333333333,0.875,1.0,1.0,1.0,0.9971428571428571,0.9385714285714286,0.96,1.0,0.8571428571428571,0.95,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.85,0.7625,0.825,0.8625,0.8625,0.45,0.5125,1.0,0.9875,0.9875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
225,33.27688959121704,0.0036780004683435227,0.07628191253285349,0.003676596612947118,7.803056625619767e-07,6.235497338431222e-07,0.031224255502959833,0.0028481986787584094,0.04220945835113525,0.9684126984126984,1.0,1.0,0.7944444444444444,0.9958333333333333,0.875,1.0,1.0,1.0,0.9971428571428571,0.94,0.9614285714285714,1.0,0.8614285714285714,0.9557142857142857,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.85,0.775,0.8375,0.8625,0.875,0.425,0.5375,1.0,0.9875,0.9875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
