epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18750001399395116,0.1875000759407326,0.06250000430583112,0.06249999515593998,0.06250001453218006,0.06250002825701678,0.06249995761447483,0.062500090069241,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,30.134771480560303,0.025598886111452255,0.09666285794458271,0.025405090439677026,0.00018451734194679866,9.278329828428844e-06,0.034938397819613234,0.006623653570810953,0.05510080655415853,0.6126984126984127,1.0,1.0,0.4888888888888889,0.9708333333333333,0.875,1.0,1.0,0.7528571428571429,0.7742857142857142,0.4014285714285714,0.48857142857142855,0.3385714285714286,0.20285714285714285,0.5557142857142857,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.9875,0.8875,0.6625,0.5875,0.2375,0.3625,0.225,0.1,0.35,0.9875,0.8875,0.9875,0.9775,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
50,33.12711680412293,0.016437655822940607,0.08593487469134506,0.016420359132151126,8.22589865752629e-06,9.07079213195377e-06,0.03584086806685836,0.0014844478832350837,0.04860955874125163,0.8185714285714286,1.0,1.0,0.6458333333333334,0.9930555555555556,0.875,1.0,1.0,0.9428571428571428,0.9628571428571429,0.7714285714285715,0.9185714285714286,0.5371428571428571,0.49857142857142855,0.7357142857142858,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.7875,0.775,0.6125,0.7,0.35,0.2125,0.425,1.0,0.95,0.99375,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
75,35.29922760009766,0.012782247519281543,0.08535787508259585,0.012771611827601411,4.3693773211940885e-06,6.266314358938308e-06,0.037904445035957995,0.0010878881646527185,0.046365541881985134,0.883015873015873,1.0,1.0,0.6958333333333333,0.9944444444444445,0.875,1.0,1.0,0.9785714285714285,0.9928571428571429,0.8528571428571429,0.9557142857142857,0.5742857142857143,0.7442857142857143,0.8485714285714285,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.825,0.825,0.6625,0.7125,0.375,0.35,0.5625,1.0,0.95,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
100,33.46324056625366,0.010910491712647614,0.0838007193610624,0.010903071650752315,3.19612907275321e-06,4.223932822545369e-06,0.03807474065709997,0.0005826499313116073,0.04514332877265082,0.9049206349206349,1.0,1.0,0.7236111111111111,0.9972222222222222,0.875,1.0,1.0,0.9942857142857143,1.0,0.8942857142857142,0.9757142857142858,0.5914285714285714,0.7942857142857143,0.8942857142857142,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.8375,0.825,0.75,0.7875,0.3875,0.3875,0.5625,1.0,0.975,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
125,33.19482523918152,0.00992963432234168,0.08352426003066846,0.009925661978477733,1.314608823685419e-06,2.6577350402635243e-06,0.03877577134120611,0.0003088205638859007,0.04443966812557644,0.9136507936507936,1.0,1.0,0.7291666666666666,0.9986111111111111,0.8736111111111111,1.0,1.0,0.9957142857142857,1.0,0.9071428571428571,0.9757142857142858,0.6014285714285714,0.82,0.9228571428571428,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.8375,0.8125,0.8,0.7875,0.4,0.3625,0.575,1.0,0.9875,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9888888888888889
150,36.75913531303406,0.009237249975702091,0.0829541142799972,0.009234298356205907,1.1817008138649046e-06,1.7699186823197774e-06,0.03929219893467279,0.0002879146900441912,0.04337400065528022,0.9195238095238095,1.0,1.0,0.7333333333333333,0.9986111111111111,0.8736111111111111,1.0,1.0,0.9957142857142857,1.0,0.9228571428571428,0.9785714285714285,0.61,0.83,0.9385714285714286,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.8375,0.8125,0.85,0.7875,0.4,0.3625,0.5625,1.0,0.9875,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9888888888888889
175,33.45112204551697,0.008935506587759368,0.08210865957087572,0.008933430020771328,9.228455434952463e-07,1.1537214445452842e-06,0.039453080259723425,0.00025689078287945854,0.04239868852827284,0.9217460317460318,1.0,1.0,0.7305555555555555,0.9986111111111111,0.8722222222222222,1.0,1.0,0.9957142857142857,1.0,0.9257142857142857,0.9785714285714285,0.6185714285714285,0.8357142857142857,0.9414285714285714,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.85,0.825,0.825,0.7875,0.4,0.3625,0.55,1.0,0.9875,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889
200,33.59925651550293,0.008813859673091284,0.08161242716244341,0.00881256587921627,5.440797198504682e-07,7.497141551640298e-07,0.03971372062777295,0.00022086863302522234,0.04167783790164524,0.9223809523809524,1.0,1.0,0.7319444444444444,1.0,0.8722222222222222,1.0,1.0,0.9957142857142857,1.0,0.9257142857142857,0.98,0.6185714285714285,0.8385714285714285,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.825,0.825,0.8375,0.7875,0.4,0.375,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889
225,33.47470424652099,0.008714989002201069,0.0815499428084787,0.008714115741601906,3.2838057017042524e-07,5.448800289914721e-07,0.04009553885754244,0.00019906496422158348,0.04125533898671468,0.9233333333333333,1.0,1.0,0.7347222222222223,1.0,0.8708333333333333,1.0,1.0,0.9957142857142857,1.0,0.9257142857142857,0.98,0.6214285714285714,0.8442857142857143,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.8125,0.825,0.8375,0.8,0.4125,0.3875,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.9888888888888889,1.0,0.9888888888888889,0.9888888888888889
