epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999515593999,0.1874999158176375,0.0625,0.0625,0.06249999515593998,0.0624999952904972,0.06249993642171224,0.06249998410542806,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,30.27545647621155,0.025629777377586305,0.09742830925517612,0.02532086192405203,0.00029590379624139696,1.3011657292880708e-05,0.03360587226019965,0.004124713606304593,0.059697723388671874,0.6023809523809524,1.0,1.0,0.4638888888888889,0.9861111111111112,0.875,1.0,1.0,0.6128571428571429,0.8542857142857143,0.6142857142857143,0.6242857142857143,0.14857142857142858,0.2714285714285714,0.2957142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.875,0.45,0.6125,0.475,0.4625,0.075,0.1375,0.0875,1.0,0.875,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
50,33.252997398376465,0.012421877129394332,0.08923121276828977,0.012390047372754079,1.658786383886186e-05,1.5241892801390753e-05,0.028502845764160154,0.0021839272644784717,0.05854443973965115,0.8547619047619047,1.0,1.0,0.6986111111111111,0.9888888888888889,0.875,1.0,1.0,0.99,0.9928571428571429,0.7,0.9485714285714286,0.58,0.6542857142857142,0.8271428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.9125,0.9,0.875,0.5125,0.8875,0.3875,0.3375,0.475,1.0,0.9125,0.99375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
75,35.38284684181213,0.005814100212895523,0.08342821382813984,0.005796298879794974,3.6585097393346213e-06,1.4142823361215138e-05,0.024154896206325955,0.001972077124648624,0.05730124049716526,0.9498412698412698,1.0,1.0,0.7916666666666666,0.9902777777777778,0.8736111111111111,1.0,1.0,1.0,1.0,0.91,0.98,0.9285714285714286,0.8185714285714286,0.9114285714285715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.925,0.95,0.875,0.75,0.9,0.725,0.4375,0.5625,1.0,0.925,0.99375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9888888888888889,1.0
100,33.388375968933104,0.0032136473293716793,0.07802575749379617,0.0032066450169477515,1.3175300721611295e-06,5.6847823517663135e-06,0.021221196209942852,0.0019020924965540567,0.05490246878729926,0.9734920634920635,1.0,1.0,0.8222222222222222,0.9902777777777778,0.8736111111111111,1.0,1.0,1.0,1.0,0.9471428571428572,0.9942857142857143,0.9928571428571429,0.8671428571428571,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.925,0.95,0.8875,0.8,0.9,0.8625,0.4875,0.5875,1.0,0.925,0.99375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9888888888888889,1.0
125,33.69397400856018,0.0026006512137415703,0.07629356356682601,0.0025975141575727513,6.000314735703998e-07,2.537024695248831e-06,0.02164560247350622,0.0019308528966373868,0.0527171081966824,0.9779365079365079,1.0,1.0,0.825,0.9902777777777778,0.8736111111111111,1.0,1.0,1.0,1.0,0.9557142857142857,0.9971428571428571,0.9971428571428571,0.8728571428571429,0.9785714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.925,0.9625,0.8875,0.8375,0.9,0.8375,0.5125,0.5625,1.0,0.925,0.99375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9888888888888889,1.0
150,36.397904033660886,0.0023561303481883394,0.07507468344252786,0.0023543891704902445,3.2804558970152387e-07,1.4131321083931695e-06,0.022095647270296826,0.0019735455513000487,0.05100549062093099,0.9796825396825397,1.0,1.0,0.8291666666666667,0.9902777777777778,0.875,1.0,1.0,1.0,1.0,0.9585714285714285,0.9971428571428571,0.9985714285714286,0.8785714285714286,0.9842857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.925,0.9625,0.8875,0.85,0.8875,0.85,0.525,0.575,1.0,0.925,0.99375,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
175,33.54288387298584,0.002206361272998115,0.07390061088918168,0.0022052978838562336,2.0710344884603743e-07,8.562856930352393e-07,0.022443550015673226,0.0018697263465987312,0.04958733452690972,0.9803174603174604,1.0,1.0,0.8361111111111111,0.9902777777777778,0.8736111111111111,1.0,1.0,1.0,1.0,0.9642857142857143,0.9971428571428571,0.9985714285714286,0.8785714285714286,0.9842857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.925,0.9625,0.8875,0.85,0.8875,0.8875,0.5125,0.6125,1.0,0.925,0.99375,1.0,0.9888888888888889,1.0,1.0,0.0,1.0,1.0,1.0,1.0
200,33.6671263885498,0.0019883030991435847,0.072746185792817,0.001987573532831101,1.405997641591562e-07,5.889665483245774e-07,0.022425948248969183,0.0018011189169353909,0.04851911862691243,0.9825396825396825,1.0,1.0,0.8430555555555556,0.9930555555555556,0.8736111111111111,1.0,1.0,1.0,1.0,0.9771428571428571,0.9971428571428571,0.9985714285714286,0.8828571428571429,0.9871428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.95,0.95,0.9,0.875,0.8875,0.9,0.5125,0.6125,1.0,0.95,0.99375,1.0,0.9888888888888889,1.0,1.0,0.0,1.0,1.0,1.0,1.0
225,33.51834271430969,0.0019100011835335483,0.07175974983859945,0.001909499799132978,9.718349218250267e-08,4.042009083879372e-07,0.022459065472638165,0.0017197163568602669,0.04758096800910102,0.9833333333333333,1.0,1.0,0.8472222222222222,0.9944444444444445,0.8736111111111111,1.0,1.0,1.0,1.0,0.98,0.9971428571428571,0.9985714285714286,0.8828571428571429,0.9914285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.9625,0.95,0.8875,0.9,0.9,0.8875,0.5125,0.625,1.0,0.9625,0.99375,1.0,0.9888888888888889,1.0,1.0,0.0,1.0,1.0,1.0,1.0
