epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998546781993,0.18750000588687848,0.0625,0.06249998546781994,0.0625,0.0624999952904972,0.0625,0.0625000105963813,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,29.91294708251953,0.02732952365103117,0.09584573946985198,0.027040604418127206,0.0002757107833075145,1.3208449596450443e-05,0.033757268646616996,0.0022657949063513015,0.05982267591688368,0.5968253968253968,1.0,1.0,0.5041666666666667,0.9930555555555556,0.875,1.0,1.0,0.59,0.8042857142857143,0.4471428571428571,0.4514285714285714,0.38142857142857145,0.3057142857142857,0.3914285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.4,0.8,0.225,0.3875,0.25,0.2125,0.275,1.0,0.9875,0.98125,0.9975,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
50,33.1475863647461,0.01640510286485392,0.09436090174648497,0.016384442041790674,7.960825921997191e-06,1.2699997141247705e-05,0.033547253078884544,0.0008505706985791525,0.05996307796902127,0.826031746031746,1.0,1.0,0.6611111111111111,0.9986111111111111,0.875,1.0,1.0,0.9628571428571429,0.9571428571428572,0.75,0.9071428571428571,0.5528571428571428,0.56,0.7442857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.8125,0.9,0.475,0.7375,0.35,0.25,0.425,1.0,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
75,35.13890091896057,0.012163304973925863,0.09554585099772171,0.01214755588107639,3.5998556349012586e-06,1.2149237214572846e-05,0.03611237561261213,0.0008430632452170055,0.05859041213989258,0.8923809523809524,1.0,1.0,0.7152777777777778,1.0,0.875,1.0,1.0,0.9942857142857143,0.9971428571428571,0.8828571428571429,0.9642857142857143,0.5942857142857143,0.7142857142857143,0.8842857142857142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.8625,0.9,0.5875,0.725,0.4375,0.375,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
100,33.22810544013977,0.009921914102473482,0.09586697172971419,0.009910755191110008,5.185973076593309e-06,5.972938286879706e-06,0.03697644457404996,0.0007181051704618665,0.058172421985202366,0.915079365079365,1.0,1.0,0.7333333333333333,0.9986111111111111,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9971428571428571,0.9371428571428572,0.98,0.6228571428571429,0.7614285714285715,0.9385714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.9125,0.9125,0.6375,0.7875,0.45,0.3375,0.575,1.0,0.9875,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0
125,34.35664291381836,0.008748386798991543,0.09530591668078194,0.008743638672736165,1.5173626265355519e-06,3.2307636288423385e-06,0.03690653200502749,0.0005547458512915505,0.05784463882446289,0.9241269841269841,1.0,1.0,0.7430555555555556,0.9986111111111111,0.8736111111111111,1.0,1.0,1.0,0.9971428571428571,0.9542857142857143,0.9828571428571429,0.6414285714285715,0.7885714285714286,0.9528571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.9125,0.9,0.6875,0.7875,0.475,0.325,0.6125,1.0,0.9875,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0
150,35.43542727470398,0.008331179371262973,0.09486425018374935,0.008328698644352128,7.828714562550423e-07,1.6978554545886933e-06,0.03682667296609761,0.0003464163798424933,0.057691160837809244,0.9266666666666666,1.0,1.0,0.7555555555555555,0.9986111111111111,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.96,0.9857142857142858,0.6428571428571429,0.7914285714285715,0.9614285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.9125,0.925,0.7125,0.8125,0.4875,0.325,0.6375,1.0,0.9875,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0
175,33.353498764038086,0.008074598723892748,0.09444598392295984,0.008073191701630017,4.606786376190564e-07,9.463436251121854e-07,0.03667135120909891,0.00024602036509248945,0.057528612348768444,0.9285714285714286,1.0,1.0,0.7555555555555555,1.0,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.9642857142857143,0.9857142857142858,0.6442857142857142,0.7971428571428572,0.9671428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,0.9125,0.9125,0.7125,0.8,0.475,0.3625,0.625,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,0.0,1.0,1.0
200,33.50803645133972,0.007985570185519656,0.0944322928648304,0.007984632058118385,3.5071667904655137e-07,5.874107222235392e-07,0.03680571096914786,0.00030398439202043747,0.05732259750366211,0.9292063492063493,1.0,1.0,0.7611111111111111,1.0,0.8722222222222222,1.0,1.0,1.0,0.9985714285714286,0.9657142857142857,0.9857142857142858,0.6457142857142857,0.8,0.9671428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.9,0.925,0.725,0.8125,0.4875,0.375,0.6375,1.0,1.0,1.0,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.0,1.0,1.0
225,33.29690460205078,0.007897935228437066,0.09464843723187108,0.007897280738467261,2.5449693942117313e-07,3.999930303839464e-07,0.03719874017032576,0.0003297023682130708,0.057119994693332246,0.9301587301587302,1.0,1.0,0.7597222222222222,1.0,0.8736111111111111,1.0,1.0,1.0,0.9985714285714286,0.97,0.9857142857142858,0.6485714285714286,0.8,0.9685714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,0.9875,0.9,0.925,0.725,0.8125,0.4875,0.3625,0.6375,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,0.0,1.0,1.0
