epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999569416886,0.18749996114660192,0.06249999569416888,0.0625,0.0625,0.06249997174298321,0.06249998940361871,0.0625,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,29.872861166000366,0.02661879126396444,0.10391002886089279,0.026097005208333333,0.0005073598074534582,1.4426248177649483e-05,0.037184392670054495,0.00724994937578837,0.059475686815049916,0.6015873015873016,0.9993650793650793,1.0,0.44583333333333336,0.9819444444444444,0.875,1.0,0.9985714285714286,0.7485714285714286,0.6285714285714286,0.27,0.49,0.36714285714285716,0.5057142857142857,0.4057142857142857,1.0,0.9942857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.8375,0.6625,0.475,0.1125,0.2875,0.1625,0.2625,0.2125,1.0,0.85,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
50,33.327222719192505,0.015298256598137043,0.09392553314014718,0.01525076084036045,3.612374502515036e-05,1.1372012751443045e-05,0.030001159950538918,0.0046893619828754,0.05923501120673286,0.8261904761904761,1.0,1.0,0.6791666666666667,0.9847222222222223,0.875,1.0,1.0,0.9814285714285714,0.9671428571428572,0.7471428571428571,0.9328571428571428,0.5628571428571428,0.5871428571428572,0.6571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.85,0.8625,0.85,0.4875,0.8125,0.4375,0.375,0.4375,1.0,0.875,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
75,35.38286071777344,0.010462441633552364,0.09403756890032026,0.010438854614473103,1.3975549548391311e-05,9.611469530870044e-06,0.03244255913628472,0.00475968685415056,0.05683532290988498,0.9057142857142857,1.0,1.0,0.7138888888888889,0.9847222222222223,0.875,1.0,1.0,0.9957142857142857,0.9885714285714285,0.8528571428571429,0.9742857142857143,0.6785714285714286,0.7957142857142857,0.8657142857142858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.85,0.925,0.85,0.5625,0.825,0.5375,0.375,0.5,1.0,0.875,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
100,33.47308780670166,0.007015026181318668,0.0918074189144888,0.007002916016486167,5.520531345927526e-06,6.589633486573658e-06,0.031978322252815154,0.004261286391152276,0.05556781027052138,0.9411111111111111,1.0,1.0,0.75,0.9875,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9942857142857143,0.9,0.98,0.8385714285714285,0.8285714285714286,0.93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.85,0.8875,0.875,0.625,0.8125,0.7375,0.4125,0.55,1.0,0.9,1.0,0.9975,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.0,1.0
125,36.17515647888184,0.005028303008184915,0.08930875625875262,0.00502171161523782,3.175479138181323e-06,3.415913808913458e-06,0.03116548326280382,0.003304403689172533,0.054838869306776256,0.9580952380952381,1.0,1.0,0.7763888888888889,0.9902777777777778,0.8722222222222222,1.0,1.0,0.9985714285714286,0.9957142857142857,0.92,0.9814285714285714,0.9285714285714286,0.8514285714285714,0.9471428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.8875,0.875,0.8125,0.6625,0.825,0.8875,0.4125,0.625,1.0,0.925,1.0,0.9975,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.0,1.0
150,34.01525064468384,0.0041372972656192495,0.08824937465014282,0.004133609724633488,1.5870478772927845e-06,2.1004931084693423e-06,0.030994302255135997,0.0031949576404359603,0.05406011475457086,0.964920634920635,1.0,1.0,0.7902777777777777,0.9930555555555556,0.8722222222222222,1.0,1.0,0.9985714285714286,0.9957142857142857,0.93,0.9814285714285714,0.9671428571428572,0.86,0.9514285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9,0.8625,0.825,0.6875,0.85,0.95,0.4,0.6375,1.0,0.9375,1.0,1.0,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,0.0,1.0
175,33.59990099906921,0.003765504327307026,0.08821808909192497,0.003763359917534722,9.126294522531449e-07,1.2317803200511705e-06,0.030945299878532506,0.0034166812896728516,0.053856107923719615,0.9680952380952381,1.0,1.0,0.7986111111111112,0.9944444444444445,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9957142857142857,0.9371428571428572,0.9842857142857143,0.9742857142857143,0.8685714285714285,0.9542857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.925,0.8625,0.85,0.675,0.85,0.95,0.4125,0.6625,1.0,0.95,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.0,1.0
200,33.65523520469665,0.003584102208543785,0.08797400608474826,0.003582707157841435,6.351257777876324e-07,7.599249245628478e-07,0.031281650213547695,0.0033475074503156875,0.053344848420884876,0.9696825396825397,1.0,1.0,0.7986111111111112,0.9944444444444445,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9957142857142857,0.94,0.9842857142857143,0.9771428571428571,0.8757142857142857,0.9557142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.925,0.8625,0.8625,0.6875,0.8375,0.95,0.4125,0.65,1.0,0.95,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.0,1.0
225,33.45784068107605,0.0033955580782271738,0.0874672269379651,0.003394581359109761,4.670291119033382e-07,5.096900055096263e-07,0.03128816110116464,0.003136685821745131,0.05304238001505534,0.9709523809523809,1.0,1.0,0.8013888888888889,0.9958333333333333,0.8736111111111111,1.0,1.0,0.9985714285714286,0.9971428571428571,0.9442857142857143,0.9871428571428571,0.98,0.8757142857142857,0.9557142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,0.9375,0.875,0.875,0.7,0.8375,0.9375,0.4125,0.6375,1.0,0.9625,1.0,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,0.0,1.0
