epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000042385525,0.18749999470180936,0.0625,0.06250000423855252,0.0625,0.0625,0.06250000529819065,0.06249998940361871,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,5.280809326171875,0.026218387022740958,0.031135002876787138,0.02593761114426601,0.0002735105488035414,7.265329671402772e-06,0.030422761705186634,0.000690791548954116,2.144962264638808e-05,0.5898611111111111,1.0,1.0,0.5013888888888889,1.0,1.0,1.0,1.0,0.6825,0.67,0.355625,0.5975,0.28125,0.3175,0.404375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45625,0.5625,0.25,0.45625,0.20625,0.25625,0.325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,5.413796682357788,0.013893944568454898,0.02024143904571157,0.013875363196855709,1.575305126607418e-05,2.828320333113273e-06,0.020014654559853635,0.00021308335579103894,1.3701130066894822e-05,0.8479861111111111,1.0,1.0,0.7756944444444445,0.9993055555555556,1.0,1.0,1.0,0.99625,0.9975,0.8025,0.97875,0.538125,0.613125,0.705625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.95625,1.0,0.6125,0.9125,0.4625,0.475,0.56875,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,5.549871520996094,0.009918042048668191,0.01832192638302567,0.009908629994333527,5.444563511345122e-06,3.967490823318561e-06,0.018042324207447193,0.0002468286496069696,3.2773525971505376e-05,0.9145833333333333,1.0,1.0,0.8395833333333333,0.9993055555555556,1.0,1.0,1.0,0.99875,0.999375,0.881875,0.98,0.679375,0.770625,0.92125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99375,0.9875,1.0,0.70625,0.91875,0.60625,0.5875,0.75625,1.0,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,5.354823198318481,0.006826280539475934,0.015776019772215755,0.006817738568341291,3.413815154797501e-06,5.128155979845259e-06,0.015381076012128665,0.00032347807039817176,7.146568968892097e-05,0.9463194444444445,1.0,1.0,0.8756944444444444,0.9979166666666667,0.9986111111111111,1.0,1.0,1.0,1.0,0.94875,0.99125,0.80375,0.81625,0.956875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.99375,0.975,1.0,0.83125,0.9375,0.7375,0.6,0.81875,0.9875,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
125,5.377955360412598,0.004902369122331341,0.01425280126593547,0.004897787306043837,2.2058336374660334e-06,2.3759826500382687e-06,0.013546882441014419,0.000607102115948995,9.88167089720567e-05,0.9604861111111112,1.0,1.0,0.8993055555555556,0.9972222222222222,1.0,1.0,1.0,1.0,1.0,0.95375,0.9875,0.870625,0.858125,0.974375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.9875,1.0,0.83125,0.94375,0.85,0.6625,0.84375,0.9875,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,5.2352863311767575,0.0037025433145377235,0.013362296855790011,0.003699587362783927,1.5047901413506931e-06,1.4511616124461094e-06,0.012547986301375024,0.0007074345317151812,0.00010687602269980643,0.97125,1.0,1.0,0.9041666666666667,0.9972222222222222,1.0,1.0,1.0,1.0,1.0,0.959375,0.99125,0.9325,0.8775,0.980625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.9875,1.0,0.83125,0.925,0.875,0.70625,0.8375,0.9875,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,5.225736808776856,0.0029985083581414076,0.01285318362377124,0.002996315426296658,1.088415350144108e-06,1.1045164946052763e-06,0.01207191914687922,0.0006753072556522158,0.00010595722123980522,0.9765277777777778,1.0,1.0,0.9090277777777778,0.9972222222222222,1.0,1.0,1.0,1.0,1.0,0.969375,0.9925,0.949375,0.895625,0.981875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9875,0.9875,0.9875,1.0,0.8625,0.925,0.8875,0.70625,0.8375,0.9875,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,5.183397798538208,0.002645690596696955,0.012754469528150411,0.0026441884923864294,7.127035900743471e-07,7.894007204514411e-07,0.011968380727885681,0.0006901333315504921,9.595546871423721e-05,0.9788194444444445,1.0,1.0,0.9111111111111111,0.9958333333333333,1.0,1.0,1.0,1.0,1.0,0.97,0.9925,0.956875,0.906875,0.983125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9875,0.9875,0.99375,0.875,0.9125,0.89375,0.73125,0.84375,0.975,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,5.306123161315918,0.0023933076057482488,0.012664296619456124,0.0023921851169915846,5.46286270643274e-07,5.762024860208234e-07,0.011845680519386574,0.0007258949180444081,9.272118202514118e-05,0.9806944444444444,1.0,1.0,0.9145833333333333,0.9958333333333333,1.0,1.0,1.0,1.0,1.0,0.97,0.99375,0.96625,0.910625,0.985625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9875,1.0,0.98125,0.875,0.9375,0.89375,0.75,0.83125,0.975,0.9875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
