epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875,0.18749991993845244,0.0625,0.062499995761447484,0.06250000423855252,0.0625000047095028,0.06249989933437771,0.06250001589457194,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,5.055365085601807,0.21093483536331745,0.210933436287774,0.06844077781394677,0.06968387179904514,0.07281018575032552,0.06844194200303819,0.06968005498250325,0.07281143930223254,0.1111111111111111,0.5555555555555556,0.125,0.1111111111111111,0.5555555555555556,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,16.698714017868042,0.18564099629720052,0.1856619708332015,0.06941046820746527,0.07203670925564236,0.04419381883409288,0.06941273536211179,0.07204580836825901,0.04420342710283068,0.11229166666666666,0.5555555555555556,0.2517361111111111,0.11388888888888889,0.5555555555555556,0.25,0.0,0.0,0.375,0.261875,0.0,0.0,0.0,0.0,0.37375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.013888888888888888,0.0,0.0,0.0,0.375,0.275,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3,20.20711088180542,0.15078173690372043,0.15088621819460835,0.06961439344618055,0.07309429592556424,0.00807304753197564,0.06961486251265915,0.07310385704040527,0.008167498641543917,0.1111111111111111,0.5555555555555556,1.0,0.1111111111111111,0.5555555555555556,1.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,18.206509828567505,0.14303120989858367,0.14367868355762814,0.06899499210310571,0.06701554192437066,0.0070206758711073135,0.069026259434076,0.06737849977281359,0.007273924350738525,0.17902777777777779,0.5555555555555556,1.0,0.18194444444444444,0.5555555555555556,1.0,1.0,0.0,0.0,0.0,0.25,0.0025,0.23625,0.0,0.1225,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.25,0.0125,0.25,0.0,0.125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,17.780350923538208,0.11412587901692332,0.11534811103785479,0.06211371151017554,0.04671403249104818,0.0052981350156995986,0.06228712576406973,0.04741834004720052,0.00564264522658454,0.17166666666666666,0.6665972222222222,1.0,0.16458333333333333,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.1975,0.07125,0.0,0.27625,0.999375,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.16875,0.06875,0.0,0.24375,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,17.47725009918213,0.08732584027596461,0.08812783031183997,0.05441751362364969,0.030787103441026475,0.0021212232112884522,0.054626794508945795,0.03113304509056939,0.002367990712324778,0.25743055555555555,0.7079166666666666,1.0,0.25625,0.6944444444444444,1.0,1.0,0.0,0.320625,0.0,0.49625,0.20375,0.0,0.0,0.29625,1.0,0.0,0.185625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35625,0.0,0.48125,0.2,0.0,0.0,0.26875,1.0,0.0,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,17.555187940597534,0.08198555777102341,0.0828113712830308,0.05031475679374035,0.031100790235731337,0.0005700107415517171,0.05065199298623167,0.03144372039371067,0.0007156579030884637,0.2863888888888889,0.7999305555555556,1.0,0.2923611111111111,0.8,1.0,1.0,0.521875,0.0,0.055,0.0,0.000625,0.0,0.5,0.5,1.0,0.466875,0.36625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56875,0.0,0.0625,0.0,0.0,0.0,0.5,0.5,1.0,0.51875,0.340625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,16.775532007217407,0.08031468196415607,0.08141591476713435,0.04892705093195409,0.03114861594306098,0.000239015089140998,0.049339091924973474,0.03174736499786377,0.0003294578442970912,0.28944444444444445,0.8397222222222223,1.0,0.28888888888888886,0.83125,1.0,1.0,0.063125,0.046875,0.476875,0.0,0.363125,0.53,0.125,0.0,1.0,0.0,0.77875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.075,0.05625,0.4875,0.0,0.35625,0.5,0.125,0.0,1.0,0.0,0.740625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,17.42736005783081,0.0723656996505128,0.0743257838818762,0.04697903103298611,0.02525215572781033,0.0001345128897163603,0.04764154222276476,0.02648792001936171,0.0001963216397497389,0.34458333333333335,0.9127083333333333,1.0,0.32569444444444445,0.9013888888888889,1.0,1.0,0.61,0.36,0.10625,0.32375,0.06375,0.0,0.275625,0.361875,1.0,0.2425,0.9859375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40625,0.36875,0.10625,0.31875,0.075,0.0,0.3,0.35625,1.0,0.18125,0.965625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,24.71297788619995,0.0632204958161822,0.06556861767844287,0.04389829282407407,0.019233358171251085,8.884482085704803e-05,0.04471108707380884,0.020720599757300482,0.00013693084733353722,0.37625,0.9351388888888889,1.0,0.36319444444444443,0.9319444444444445,1.0,1.0,0.969375,0.0,0.37625,0.255,0.2025,0.45625,0.005,0.121875,1.0,0.471875,0.9721875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.89375,0.0,0.375,0.2625,0.1875,0.425,0.0,0.125,1.0,0.45625,0.965625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,21.213397979736328,0.05503612233118878,0.05750111978570068,0.04172315809461805,0.013246743943956163,6.622029261456596e-05,0.042781688548900465,0.014613572756449382,0.00010585848035083876,0.4098611111111111,0.9059722222222222,1.0,0.3875,0.9013888888888889,1.0,1.0,0.961875,0.44875,0.189375,0.19625,0.19875,0.218125,0.4175,0.058125,1.0,0.155,0.999375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8875,0.4125,0.1875,0.20625,0.15,0.19375,0.39375,0.05625,1.0,0.125,0.99375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
