epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749998600604884,0.18749992700270662,0.06249999569416888,0.06249999515593998,0.06249999515593998,0.0624999905809944,0.06249995761447483,0.062499978807237414,0.1111111111111111,0.1111111111111111,0.14285714285714285,0.1111111111111111,0.1111111111111111,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,6.610769033432007,0.20500196668836804,0.20933928548553843,0.06800878131200397,0.0697863042922247,0.06720688108413939,0.06799379513587481,0.06978406376308866,0.07156142658657498,0.1111111111111111,0.5555555555555556,0.14285714285714285,0.1111111111111111,0.5555555555555556,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,17.500104904174805,0.15829356346601323,0.1762238264083862,0.06914991698357584,0.07243633936321925,0.01670730711921813,0.06916677686903211,0.07245292663574218,0.03460412290361192,0.12904761904761905,0.5555555555555556,0.9771428571428571,0.12986111111111112,0.5555555555555556,0.8541666666666666,0.15714285714285714,0.45714285714285713,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.11857142857142858,0.14285714285714285,0.0,0.0,0.0,1.0,nan,0.9477777777777778,1.0,1.0,1.0,0.96,0.94,0.9922222222222222,0.25,0.44375,0.0,0.0,0.0,0.125,0.125,0.1,0.125,0.0,0.0,0.0,1.0,0.0,0.9888888888888889,1.0,1.0,1.0,0.9333333333333333,0.9222222222222223,0.9888888888888889
3,15.560673952102661,0.14291623453614574,0.1859945155956127,0.06897706369874339,0.06818299793061756,0.005756172906784784,0.06936991656268084,0.06873455047607421,0.04789004855685764,0.17857142857142858,0.5555555555555556,0.9973015873015874,0.1673611111111111,0.5555555555555556,0.8736111111111111,0.7171428571428572,0.3457142857142857,0.14285714285714285,0.0,0.0,0.15,0.14285714285714285,0.0,0.10857142857142857,0.0,0.0,0.0,1.0,nan,0.9933333333333333,1.0,1.0,1.0,0.9977777777777778,0.9933333333333333,0.9966666666666667,0.75,0.2875,0.125,0.0,0.0,0.125,0.125,0.0,0.09375,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
4,17.494417905807495,0.11846403616446036,0.17450750021286954,0.06332002831514551,0.049508715432787696,0.0056352924165271575,0.06419738016010802,0.05506265958150228,0.055247460471259224,0.17015873015873015,0.6558730158730158,0.9893650793650793,0.16527777777777777,0.5875,0.8638888888888889,1.0,0.0,0.0,0.0,0.04857142857142857,0.04,0.13428571428571429,0.0,0.30857142857142855,0.9028571428571428,0.0,0.0,1.0,nan,0.9511111111111111,1.0,1.0,1.0,0.9988888888888889,0.9811111111111112,0.9944444444444445,1.0,0.0,0.0,0.0,0.0625,0.03125,0.125,0.0,0.26875,0.9125,0.0,0.0,0.875,0.0,0.9666666666666667,1.0,1.0,1.0,0.9888888888888889,0.9666666666666667,0.9888888888888889
5,16.702014923095703,0.0933962791012288,0.1645029803852976,0.055043669739307764,0.03421058049277654,0.0041420288691445,0.05740653614938995,0.04984087414211697,0.05725557009379069,0.22174603174603175,0.6795238095238095,0.9836507936507937,0.20694444444444443,0.6034722222222222,0.8597222222222223,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.28285714285714286,0.42714285714285716,1.0,0.0,0.05785714285714286,1.0,nan,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.9966666666666667,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.2375,0.375,1.0,0.0,0.028125,0.875,0.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,0.9888888888888889
6,17.79874610900879,0.08469318904573955,0.16003642199951926,0.05079004681299603,0.03156738039046999,0.0023357618422735304,0.053617044142734854,0.048526769214206275,0.05789260864257813,0.22984126984126985,0.7511111111111111,0.9907936507936508,0.21805555555555556,0.6465277777777778,0.8673611111111111,1.0,0.06857142857142857,0.0,0.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.0,1.0,0.05,0.355,1.0,nan,0.9355555555555556,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0875,0.0,0.0,0.25,0.125,0.25,0.25,0.0,1.0,0.0375,0.203125,0.875,0.0,0.9388888888888889,1.0,1.0,1.0,1.0,1.0,1.0
7,17.763066053390503,0.08151776203613012,0.16064671057241933,0.049185134376377865,0.031566251724485364,0.0007663759352668884,0.05276975278501157,0.05028453403049045,0.05759242375691732,0.2619047619047619,0.8380952380952381,1.0,0.2361111111111111,0.7166666666666667,0.875,1.0,0.2857142857142857,0.06571428571428571,0.0014285714285714286,0.40714285714285714,0.0,0.14285714285714285,0.14285714285714285,0.31142857142857144,1.0,0.2571428571428571,0.6428571428571429,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18125,0.0625,0.00625,0.3625,0.0,0.125,0.125,0.2625,1.0,0.15,0.4625,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,15.067956924438477,0.07448153720330938,0.15725562896257567,0.0478505291005291,0.026287851484995038,0.000343156617785257,0.05205908410343123,0.04722559187147352,0.057970952987670896,0.35968253968253966,0.8357142857142857,1.0,0.32569444444444445,0.73125,0.875,1.0,0.33714285714285713,0.5171428571428571,0.37,0.0,0.12857142857142856,0.17,0.14285714285714285,0.5714285714285714,1.0,0.0,0.7607142857142857,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21875,0.49375,0.3125,0.0,0.1125,0.16875,0.125,0.5,1.0,0.0,0.603125,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,14.406636953353882,0.0699058145105944,0.15410722037892283,0.04509711802110891,0.024581076001364086,0.00022762048812139602,0.04961484744225019,0.04606346024407281,0.058428912692599824,0.31857142857142856,0.8734920634920635,1.0,0.27569444444444446,0.7590277777777777,0.875,1.0,0.7371428571428571,0.05285714285714286,0.07285714285714286,0.19857142857142857,0.4257142857142857,0.21857142857142858,0.02,0.14142857142857143,1.0,0.4614285714285714,0.7,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5625,0.0625,0.025,0.175,0.375,0.14375,0.0125,0.125,1.0,0.33125,0.5625,0.875,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
