epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999293574582,0.18749997174298322,0.06249998869719328,0.0625,0.06250000423855252,0.062499929357458045,0.06250000529819065,0.06250003708733452,0.1111111111111111,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25,4.299300746917725,0.017627267746921676,0.047151552386765855,0.017477842731240353,0.0001390933824910058,1.0331633190313975e-05,0.03990337701491367,0.007127265797721015,0.00012090957413117091,0.7340277777777777,1.0,1.0,0.46944444444444444,0.9638888888888889,1.0,1.0,1.0,0.8375,0.7225,0.44875,0.96375,0.32,0.61375,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.25,0.575,0.3375,0.0,0.2,0.4625,0.5,1.0,0.9375,0.86875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,4.678601360321045,0.010340605625238867,0.09404424517013041,0.010303462464132426,2.8611520926157632e-05,8.531640180283122e-06,0.06458325327178578,0.029298782348632812,0.00016220954971181022,0.8959722222222222,1.0,1.0,0.49166666666666664,0.875,0.9986111111111111,1.0,1.0,0.98375,0.995,0.7175,0.97,0.6825,0.875,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,0.05,0.9,0.5125,0.0,0.5,0.6625,0.5,1.0,0.3375,0.76875,1.0,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,4.701430892944336,0.005799683199816004,0.11368034546849906,0.0057825356942636,1.146129746403959e-05,5.686208088364866e-06,0.07852048520688658,0.03481501208411323,0.0003448481774992413,0.9502777777777778,1.0,1.0,0.5055555555555555,0.8666666666666667,0.9958333333333333,1.0,1.0,0.99875,0.99875,0.89125,0.97125,0.8075,0.96375,0.92125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0375,0.9125,0.6875,0.0,0.525,0.7,0.4375,1.0,0.2875,0.75625,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
100,4.7028441238403325,0.004321200590247266,0.12155126639998255,0.004310657830885899,7.522641163733271e-06,3.0201181976331605e-06,0.08330156302746432,0.03780276245541043,0.000446940917107794,0.9636111111111111,1.0,1.0,0.5027777777777778,0.8597222222222223,0.9958333333333333,1.0,1.0,0.99875,1.0,0.91375,0.97375,0.85625,0.975,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.0375,0.9125,0.7375,0.0,0.5375,0.6875,0.4125,1.0,0.2,0.76875,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
125,4.6538208389282225,0.003691725763937826,0.12656264312013432,0.0036877740459677613,2.381599301265346e-06,1.570118668799599e-06,0.08605824223271123,0.03999663723839654,0.0005077636490265528,0.9693055555555555,1.0,1.0,0.5,0.8555555555555555,0.9958333333333333,1.0,1.0,1.0,1.0,0.91875,0.975,0.885,0.97625,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1375,0.0375,0.9375,0.75,0.0,0.5125,0.6625,0.4625,1.0,0.1625,0.76875,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
150,4.649810037612915,0.003441833022214403,0.1297473712697809,0.00343896159419307,2.006879205712014e-06,8.645488156212701e-07,0.08804549228997878,0.04109661314222548,0.0006052658375766542,0.9708333333333333,1.0,1.0,0.49722222222222223,0.8555555555555555,0.9958333333333333,1.0,1.0,1.0,1.0,0.9225,0.975,0.89,0.97875,0.97125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1375,0.0375,0.9375,0.7625,0.0,0.5125,0.65,0.4375,1.0,0.15,0.775,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
175,4.679133682250977,0.003309718883793261,0.1329855852978833,0.003308229564148703,9.461220017530851e-07,5.431976428048478e-07,0.09015177032093942,0.04216966364118788,0.000664151335755984,0.9718055555555556,1.0,1.0,0.4986111111111111,0.8569444444444444,0.9958333333333333,1.0,1.0,1.0,1.0,0.9275,0.975,0.89375,0.97875,0.97125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.0375,0.9375,0.7875,0.0,0.525,0.675,0.4,1.0,0.1625,0.775,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
200,4.668740243911743,0.0031966287477867518,0.1348903044230408,0.003194912569022473,1.3618353599061568e-06,3.543434043725332e-07,0.09121246337890626,0.042984162436591256,0.0006936786075433095,0.9726388888888889,1.0,1.0,0.49722222222222223,0.8527777777777777,0.9958333333333333,1.0,1.0,1.0,1.0,0.93125,0.975,0.895,0.98,0.9725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125,0.0375,0.9375,0.7875,0.0,0.525,0.675,0.3875,1.0,0.1625,0.75625,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
225,4.731075954437256,0.003137870328738009,0.13668218689200318,0.0031352897926613136,2.330336461050643e-06,2.501996156449119e-07,0.09220257040895062,0.04376021756066217,0.000719398922390408,0.9730555555555556,1.0,1.0,0.4888888888888889,0.85,0.9958333333333333,1.0,1.0,1.0,1.0,0.93125,0.975,0.89875,0.98,0.9725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1,0.0375,0.9375,0.8,0.0,0.525,0.6375,0.3625,1.0,0.125,0.7625,1.0,0.9888888888888889,0.9888888888888889,1.0,1.0,1.0,0.9888888888888889,1.0,1.0
