epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000222524007,0.18750083115365768,0.06250001271565755,0.0625,0.06250000953674316,0.06250055101182725,0.062499982118606565,0.06250029802322388,0.125,0.625,0.125,0.0,0.0,0.125,0.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
25,6.9142241954803465,0.02767708983957871,0.14383100446996575,0.027010921902126738,0.000655861422419548,1.0306515032425522e-05,0.13500820795694987,0.008822700381278992,9.613173688194365e-08,0.635625,0.9996875,1.0,0.0,0.975,1.0,1.0,1.0,0.9975,nan,0.44125,0.4475,0.48375,0.36125,0.35375,1.0,1.0,0.9975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,0.975,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,9.827001791000367,0.016539628207683565,0.174190091547804,0.0165274715423584,9.388381731696428e-06,2.768283593468368e-06,0.1734246465894911,0.0007653981912881136,4.676702474171179e-08,0.8321875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.78375,0.86875,0.56625,0.61375,0.825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,9.525493841171265,0.010800605491515146,0.18576786719025903,0.010794911914401585,3.8599185063503685e-06,1.833658607210964e-06,0.18420658111572263,0.0015612359158694745,5.015866690882831e-08,0.90328125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.90125,0.92875,0.69875,0.77,0.9275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,12.059319286346435,0.006466462399952837,0.19182454603038082,0.006462751494513618,2.1351274335756897e-06,1.575778005644679e-06,0.18854598999023436,0.003278539329767227,1.671037921369134e-08,0.94453125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.9325,0.95375,0.89,0.825,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,9.347123994827271,0.0041619438937131135,0.19466965442341702,0.004160413477155897,9.0797409939114e-07,6.224424578249454e-07,0.19262163374159072,0.00204800870269537,1.1979130931649707e-08,0.9640625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.9525,0.96875,0.97625,0.85375,0.96125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,9.0961203956604,0.003653355364616194,0.19807668947451954,0.003652611573537191,4.436666131368838e-07,3.001244658662472e-07,0.19596394432915581,0.0021127279847860335,1.716057766998347e-08,0.9678125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.9575,0.97125,0.9825,0.86625,0.965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,9.108037881851196,0.0034665565385714418,0.20051119475542686,0.0034661369853549533,2.457324990245979e-07,1.7382071746396832e-07,0.19838343726264107,0.0021277474239468574,1.0068838918186885e-08,0.9696875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.9575,0.97375,0.9825,0.8775,0.96625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,9.252376518249513,0.0031699538749853677,0.20105685406493332,0.0031696224212646486,2.1737918359576725e-07,1.1407453712308779e-07,0.19916483561197917,0.0018920116126537323,6.840300414978628e-09,0.9721875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.95875,0.975,0.9925,0.88375,0.9675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,9.133179636001588,0.0029974033236986643,0.20175379340030683,0.0029972102906968856,1.0901126188400667e-07,8.402173989452422e-08,0.1999231974283854,0.0018305907025933266,5.269328084978042e-09,0.9734375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,nan,0.95875,0.975,1.0,0.885,0.96875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
