epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1875000223,0.1875008312,0.06250001272,0.0625,0.06250000954,0.06250055101,0.06249998212,0.06250029802,0.125,0.625,0.125,0,0,0.125,0,0,0,nan,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,0,0,1,0,0,0,0,0
25,6.914224195,0.02767708984,0.1438310045,0.0270109219,0.0006558614224,1.03E-05,0.135008208,0.008822700381,9.61E-08,0.635625,0.9996875,1,0,0.975,1,1,1,0.9975,nan,0.44125,0.4475,0.48375,0.36125,0.35375,1,1,0.9975,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0.975,nan,1,1,1,1,1,1,1,1
50,9.827001791,0.01653962821,0.1741900915,0.01652747154,9.39E-06,2.77E-06,0.1734246466,0.0007653981913,4.68E-08,0.8321875,1,1,0,1,1,1,1,1,nan,0.78375,0.86875,0.56625,0.61375,0.825,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
75,9.525493841,0.01080060549,0.1857678672,0.01079491191,3.86E-06,1.83E-06,0.1842065811,0.001561235916,5.02E-08,0.90328125,1,1,0,1,1,1,1,1,nan,0.90125,0.92875,0.69875,0.77,0.9275,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
100,12.05931929,0.0064664624,0.191824546,0.006462751495,2.14E-06,1.58E-06,0.18854599,0.00327853933,1.67E-08,0.94453125,1,1,0,1,1,1,1,1,nan,0.9325,0.95375,0.89,0.825,0.955,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
125,9.347123995,0.004161943894,0.1946696544,0.004160413477,9.08E-07,6.22E-07,0.1926216337,0.002048008703,1.20E-08,0.9640625,1,1,0,1,1,1,1,1,nan,0.9525,0.96875,0.97625,0.85375,0.96125,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
150,9.096120396,0.003653355365,0.1980766895,0.003652611574,4.44E-07,3.00E-07,0.1959639443,0.002112727985,1.72E-08,0.9678125,1,1,0,1,1,1,1,1,nan,0.9575,0.97125,0.9825,0.86625,0.965,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
175,9.108037882,0.003466556539,0.2005111948,0.003466136985,2.46E-07,1.74E-07,0.1983834373,0.002127747424,1.01E-08,0.9696875,1,1,0,1,1,1,1,1,nan,0.9575,0.97375,0.9825,0.8775,0.96625,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
200,9.252376518,0.003169953875,0.2010568541,0.003169622421,2.17E-07,1.14E-07,0.1991648356,0.001892011613,6.84E-09,0.9721875,1,1,0,1,1,1,1,1,nan,0.95875,0.975,0.9925,0.88375,0.9675,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
225,9.133179636,0.002997403324,0.2017537934,0.002997210291,1.09E-07,8.40E-08,0.1999231974,0.001830590703,5.27E-09,0.9734375,1,1,0,1,1,1,1,1,nan,0.95875,0.975,1,0.885,0.96875,1,1,1,1,1,1,1,1,1,1,1,1,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,1,nan,1,1,1,1,1,1,1,1
