epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.1874999851650662,0.18749975760777793,0.06250000423855252,0.062499980926513675,0.0625,0.06249998410542806,0.0624997079372406,0.06250006556510926,0.0,0.125,0.125,1.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,16.34402379989624,0.015569052467407246,0.11674676740979982,0.01527846548292372,0.0002795754000544548,1.1011584429070353e-05,0.11674109564887153,5.6415712606394665e-06,3.0189667654667574e-08,0.76640625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7625,0.92625,0.77,0.76375,0.48625,0.4225,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
50,18.49574112892151,0.0024298683854026924,0.18763137638215813,0.0024116219414605034,1.5671448782086373e-05,2.5749951601028443e-06,0.18763118320041233,1.842752453740104e-07,8.906500426064667e-09,0.97953125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.99,0.99875,0.99375,0.96625,0.9825,0.905,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,18.38102952003479,0.0007149443142811329,0.20489796195954182,0.0007111136780844795,2.6483356487005948e-06,1.1823005479527637e-06,0.204897944132487,1.5798785568676976e-08,2.0282692858586417e-09,0.994375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.995,0.99875,1.0,0.985,1.0,0.97625,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,18.618886041641236,0.0004192492955149242,0.20976317280096154,0.00041801227463616266,7.807871588738636e-07,4.562337198876776e-07,0.20976316663953995,3.972854756284505e-09,2.1885668388677006e-09,0.99640625,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.99625,0.99875,1.0,0.98875,1.0,0.9875,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
125,18.678865041732788,0.0003736413500135111,0.21265225151098038,0.0003731322950787014,2.924914770119358e-07,2.165634577977471e-07,0.2126522488064236,1.4038763929136167e-09,1.3006803634141305e-09,0.99671875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.9975,0.99875,1.0,0.98875,1.0,0.98875,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
150,16.70889503479004,0.00030201946600653983,0.21559817157240982,0.00030172172519895765,1.593834167579189e-07,1.383573908242397e-07,0.21559816996256512,6.383964468170689e-10,9.71448255171481e-10,0.99734375,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.99875,0.99875,1.0,0.99,1.0,0.99125,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
175,16.60881028175354,0.00022531953275271613,0.21820310054672465,0.00022512877980868022,9.44570274441503e-08,9.629591659177094e-08,0.2182030995686849,3.68613251033878e-10,6.09426509257105e-10,0.99796875,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.99,1.0,0.995,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,16.634234800338746,0.00019259676694016688,0.22106899750469217,0.00019247031874126857,6.364734417729778e-08,6.280085472099018e-08,0.22106899685329862,2.2140498323608427e-10,4.299885780767454e-10,0.99828125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.99,1.0,0.9975,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
225,14.905997161865235,0.00018195911855552064,0.22222849587391905,0.00018187383810679117,3.809018835454481e-08,4.719026037491858e-08,0.22222849527994792,1.4644895296456183e-10,4.475221526689666e-10,0.99828125,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.99875,1.0,0.99,1.0,0.9975,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
