epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,0.18749999515593999,0.18750007417466907,0.0625,0.0625,0.06249999515593998,0.06250012715657552,0.06249992582533095,0.06250002119276259,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.1111111111111111,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,nan,nan,nan,0.0,nan,nan,nan,nan
25,16.67371600151062,0.0263402965086688,0.5416036393907335,0.025971830391589505,0.0003586987465146988,9.767370564596994e-06,0.06029629177517361,0.04314825269911024,0.43815909491644967,0.6095238095238096,1.0,1.0,0.26666666666666666,0.9111111111111111,0.0,1.0,1.0,0.5957142857142858,0.86,0.5342857142857143,0.5014285714285714,0.24428571428571427,0.3271428571428571,0.4228571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.2,0.7,0.2,0.2,0.1,0.0,0.0,0.0,1.0,0.2,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
50,18.211100368499757,0.015208175438053815,0.5098302905942187,0.01518991729359568,1.2467173593384878e-05,5.79097086475009e-06,0.058245458720642844,0.06659935315450033,0.3849854787190755,0.8276190476190476,1.0,1.0,0.4888888888888889,0.9333333333333333,0.0,1.0,1.0,0.9542857142857143,0.9671428571428572,0.7985714285714286,0.89,0.5685714285714286,0.57,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.4,0.9,0.7,0.6,0.5,0.2,0.0,0.1,1.0,0.4,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
75,18.247247447967528,0.011444839634842236,0.45002308068452057,0.011434593133404981,5.998679451526157e-06,4.247821985729157e-06,0.07575466014720775,0.05928698115878635,0.31498143937852646,0.8957142857142857,1.0,1.0,0.4666666666666667,0.9222222222222223,0.0,1.0,1.0,0.9857142857142858,0.9942857142857143,0.9171428571428571,0.9142857142857143,0.6128571428571429,0.7642857142857142,0.8728571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.4,0.8,0.7,0.6,0.4,0.2,0.0,0.1,1.0,0.4,1.0,0.98,nan,nan,nan,0.0,nan,nan,nan,nan
100,18.573054084777834,0.009224795387397525,0.4085886125211362,0.00921860790757275,3.484915941953659e-06,2.70256388282019e-06,0.08070283112702546,0.047081083721584746,0.280804697672526,0.9198412698412698,1.0,1.0,0.5,0.9444444444444444,0.0,1.0,1.0,0.9914285714285714,0.9971428571428571,0.9614285714285714,0.93,0.6442857142857142,0.8357142857142857,0.9185714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.5,0.5,0.1,0.1,0.1,1.0,0.6,1.0,0.98,nan,nan,nan,0.0,nan,nan,nan,nan
125,16.924850511550904,0.007880270582142516,0.38714141551359194,0.007876415219046242,2.096891551027222e-06,1.7584715452459123e-06,0.08816857043607734,0.04168611632453071,0.2572867287529839,0.9331746031746032,1.0,1.0,0.5111111111111111,0.9222222222222223,0.0,1.0,1.0,0.9928571428571429,0.9985714285714286,0.9757142857142858,0.9685714285714285,0.6585714285714286,0.86,0.9442857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.8,0.6,0.5,0.1,0.1,0.1,1.0,0.6,1.0,0.94,nan,nan,nan,0.0,nan,nan,nan,nan
150,16.43390104293823,0.007170372646765183,0.37089436260270486,0.00716787994223297,1.4124597821916853e-06,1.080244750020996e-06,0.09144444406768422,0.03873860041300456,0.24071131812201607,0.9395238095238095,1.0,1.0,0.4666666666666667,0.9222222222222223,0.0,1.0,1.0,0.9928571428571429,1.0,0.9828571428571429,0.9857142857142858,0.67,0.8714285714285714,0.9528571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.6,0.4,0.5,0.1,0.1,0.1,1.0,0.6,1.0,0.94,nan,nan,nan,0.0,nan,nan,nan,nan
175,16.431943035125734,0.006758804197642439,0.36305488303855615,0.006757229598110945,9.710363127172939e-07,6.035632187766688e-07,0.09415822912145544,0.03801949818929037,0.23087715572781034,0.9425396825396826,1.0,1.0,0.4444444444444444,0.9222222222222223,0.0,1.0,1.0,0.9928571428571429,1.0,0.9842857142857143,0.9914285714285714,0.68,0.8771428571428571,0.9571428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.3,0.5,0.1,0.1,0.1,1.0,0.6,1.0,0.94,nan,nan,nan,0.0,nan,nan,nan,nan
200,15.131056642532348,0.006519352845142134,0.35866876943611803,0.006518352313436949,5.993731172075347e-07,4.0115858797752667e-07,0.09543514487184124,0.038101975123087564,0.22513164944118924,0.9436507936507936,1.0,1.0,0.4666666666666667,0.9333333333333333,0.0,1.0,1.0,0.9928571428571429,1.0,0.9842857142857143,0.9928571428571429,0.6814285714285714,0.88,0.9614285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.5,0.2,0.1,0.1,1.0,0.6,1.0,0.96,nan,nan,nan,0.0,nan,nan,nan,nan
225,14.312874879837036,0.006368125280038071,0.35510007246041003,0.006367371036051863,4.7503124242500655e-07,2.7921274378304445e-07,0.09607380996515721,0.03732563654581706,0.22170062594943576,0.9453968253968253,1.0,1.0,0.45555555555555555,0.9444444444444444,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.6885714285714286,0.8842857142857142,0.9628571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.3,0.3,0.1,0.1,1.0,0.6,1.0,0.98,nan,nan,nan,0.0,nan,nan,nan,nan
250,12.525308399200439,0.006181532986701517,0.35240362102602735,0.006180974835861717,3.4589353682739396e-07,2.1225730297229591e-07,0.09568499341423128,0.037286284234788684,0.21943234337700737,0.9468253968253968,1.0,1.0,0.43333333333333335,0.9555555555555556,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.6971428571428572,0.8885714285714286,0.9628571428571429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.4,0.4,0.3,0.3,0.0,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
275,9.561422157287598,0.005974587991686268,0.3512851885807367,0.005974127014267801,2.723516682015052e-07,1.8862575026495117e-07,0.09759342523268712,0.0362737496693929,0.21741801367865668,0.9487301587301588,1.0,1.0,0.4444444444444444,0.9555555555555556,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.7128571428571429,0.8885714285714286,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.3,0.3,0.0,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
300,9.102166719436646,0.005791519497025584,0.3472428212931127,0.005791169558462853,2.025551391795041e-07,1.4738342355168054e-07,0.09819283191068673,0.03314437601301405,0.2159056133694119,0.9504761904761905,1.0,1.0,0.4444444444444444,0.9555555555555556,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.7285714285714285,0.8885714285714286,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.3,0.3,0.0,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
325,9.088480157852173,0.005589226962603478,0.34799459510379366,0.005588956425850143,1.5344039263528963e-07,1.1709636069893364e-07,0.09966922336154514,0.03368585639529758,0.21463951534695094,0.9515873015873015,1.0,1.0,0.45555555555555555,0.9555555555555556,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.7371428571428571,0.89,0.9642857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.3,0.3,0.1,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
350,9.05795636177063,0.005493561799468175,0.3453168327425733,0.005493319610649526,1.4917883423290084e-07,9.300998441638454e-08,0.1000057738504292,0.0314775890774197,0.2138334698147244,0.9523809523809523,1.0,1.0,0.4444444444444444,0.9555555555555556,0.0,1.0,1.0,0.9942857142857143,1.0,0.9842857142857143,0.9942857142857143,0.7414285714285714,0.8914285714285715,0.9657142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.5,0.4,0.3,0.3,0.0,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
375,9.01234736442566,0.005284542984612914,0.34160870593271137,0.005284339326189099,1.2230851487921816e-07,8.134990893600005e-08,0.09975442768614969,0.028460537062750924,0.21339374118381077,0.9542857142857143,1.0,1.0,0.45555555555555555,0.9555555555555556,0.0,1.0,1.0,0.9971428571428571,1.0,0.9842857142857143,0.9957142857142857,0.7528571428571429,0.8914285714285715,0.9671428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.4,0.4,0.3,0.5,0.0,0.1,1.0,0.6,1.0,1.0,nan,nan,nan,0.0,nan,nan,nan,nan
