epoch,time,training_cost,test_cost,shape_training_cost,size_training_cost,color_training_cost,shape_test_cost,size_test_cost,color_test_cost,shape_training_accuracy,size_training_accuracy,color_training_accuracy,shape_test_accuracy,size_test_accuracy,color_test_accuracy,monomino_training_accuracy,domino_training_accuracy,tromino1_training_accuracy,tromino2_training_accuracy,tetromino1_training_accuracy,tetromino2_training_accuracy,tetromino3_training_accuracy,tetromino4_training_accuracy,tetromino5_training_accuracy,1_training_accuracy,2_training_accuracy,3_training_accuracy,4_training_accuracy,black_training_accuracy,white_training_accuracy,red_training_accuracy,blue_training_accuracy,green_training_accuracy,yellow_training_accuracy,cyan_training_accuracy,magenta_training_accuracy,monomino_test_accuracy,domino_test_accuracy,tromino1_test_accuracy,tromino2_test_accuracy,tetromino1_test_accuracy,tetromino2_test_accuracy,tetromino3_test_accuracy,tetromino4_test_accuracy,tetromino5_test_accuracy,1_test_accuracy,2_test_accuracy,3_test_accuracy,4_test_accuracy,black_test_accuracy,white_test_accuracy,red_test_accuracy,blue_test_accuracy,green_test_accuracy,yellow_test_accuracy,cyan_test_accuracy,magenta_test_accuracy
0,0,29.0,28.999995930989584,9.666666666666666,9.666666666666666,9.666666666666666,9.666665310329861,9.666665310329861,9.666665310329861,0.105625,0.25180555555555556,0.1232638888888889,0.11180555555555556,0.24305555555555555,0.12083333333333333,0.012083333333333333,0.013541666666666667,0.01173611111111111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.014583333333333334,0.014583333333333334,0.0125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,4.326132011413574,5.093378092447917,5.182122294108073,1.697792697482639,1.697792697482639,1.697792697482639,1.7273740980360244,1.7273740980360244,1.7273740980360244,0.08854166666666667,0.15319444444444444,0.6386805555555556,0.07083333333333333,0.14722222222222223,0.6263888888888889,0.014305555555555556,0.01125,0.008125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011805555555555555,0.009027777777777777,0.0020833333333333333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,5.181408891677856,5.112936604817708,5.194478352864583,1.7043122016059027,1.7043122016059027,1.7043122016059027,1.7314927842881944,1.7314927842881944,1.7314927842881944,0.08805555555555555,0.15493055555555554,0.6443055555555556,0.09375,0.1527777777777778,0.6222222222222222,0.012430555555555556,0.012638888888888889,0.006111111111111111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.013888888888888888,0.015277777777777777,0.006944444444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
75,5.356941909790039,5.138427327473958,5.217852274576822,1.712809109157986,1.712809109157986,1.712809109157986,1.7392840915256076,1.7392840915256076,1.7392840915256076,0.08819444444444445,0.1545138888888889,0.6388194444444445,0.07361111111111111,0.1486111111111111,0.6326388888888889,0.013125,0.012777777777777779,0.006319444444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.007638888888888889,0.007638888888888889,0.00625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,5.187827033996582,5.141724853515624,5.21500956217448,1.7139082845052083,1.7139082845052083,1.7139082845052083,1.7383365207248265,1.7383365207248265,1.7383365207248265,0.08694444444444445,0.14798611111111112,0.6406944444444445,0.07569444444444444,0.13333333333333333,0.6347222222222222,0.015555555555555555,0.011944444444444445,0.007430555555555556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.011805555555555555,0.010416666666666666,0.005555555555555556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
125,5.131418762207031,5.14602294921875,5.216749064127605,1.7153409830729167,1.7153409830729167,1.7153409830729167,1.7389163547092015,1.7389163547092015,1.7389163547092015,0.08270833333333333,0.15090277777777777,0.6452777777777777,0.07916666666666666,0.14930555555555555,0.6270833333333333,0.013541666666666667,0.011041666666666667,0.005069444444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010416666666666666,0.014583333333333334,0.007638888888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
150,5.207005624771118,5.157185872395833,5.226162719726562,1.7190619574652777,1.7190619574652777,1.7190619574652777,1.742054239908854,1.742054239908854,1.742054239908854,0.0817361111111111,0.14819444444444443,0.6438194444444445,0.07916666666666666,0.15208333333333332,0.6395833333333333,0.011875,0.012083333333333333,0.005555555555555556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009722222222222222,0.009722222222222222,0.007638888888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
175,5.093214139938355,5.147968343098958,5.219132995605468,1.7159894476996527,1.7159894476996527,1.7159894476996527,1.7397109985351562,1.7397109985351562,1.7397109985351562,0.08798611111111111,0.15263888888888888,0.6448611111111111,0.08888888888888889,0.14583333333333334,0.6243055555555556,0.014166666666666666,0.012708333333333334,0.006736111111111111,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.01597222222222222,0.009722222222222222,0.0125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
200,5.553697328567505,5.144090169270834,5.2134557088216145,1.7146967230902779,1.7146967230902779,1.7146967230902779,1.7378185696072048,1.7378185696072048,1.7378185696072048,0.08375,0.15104166666666666,0.6449305555555556,0.07013888888888889,0.15208333333333332,0.6305555555555555,0.011597222222222222,0.011111111111111112,0.007013888888888889,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008333333333333333,0.010416666666666666,0.006944444444444444,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
225,5.30949182510376,5.155606689453125,5.228153991699219,1.7185355631510417,1.7185355631510417,1.7185355631510417,1.7427179972330729,1.7427179972330729,1.7427179972330729,0.08541666666666667,0.15409722222222222,0.6409027777777778,0.075,0.15069444444444444,0.6298611111111111,0.01326388888888889,0.012847222222222222,0.00625,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.006944444444444444,0.010416666666666666,0.009722222222222222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
